<title>暮春</title>,<text>春盡花園裏。流年一半空。山禽亦解惜。啼過小溪風。</text>
<title>輓詞[李棟完]</title>,<text>山河間氣毓英豪。大閥由來有俊髦。五色文章看鳳羽。百年時運遇鴻毛。波翻宦海還罹譴。春暮湘潭獨詠騷。未信九原埋正直。光芒中夜月星高。</text>
<title>輓詞[趙頍]</title>,<text>蘇孔危言獻可忠。江潭容色楚臣同。那堪太傅鷄年夢。遽報長沙鵩鳥凶。魂入碧天爲列宿。名懸翠壁仰高風。從今忍過岐陽路。二老云亡慟不竆。</text>
<title>輓詞[權斗經]</title>,<text>高風蹈海舊儒宗。詩禮趨庭有八龍。地望衡山推杞梓。天然淸水出芙蓉。那知省署翺翔翰。奄作江潭憔悴容。一賦大招魂不返。楓林關塞杳無蹤。</text>
<title>輓詞[權斗紀]</title>,<text>徵君高節倚秋旻。餘慶承家有偉人。詩禮趨庭傳榘範。文章華國演絲綸。千秋大澤龍亡日。四月長沙鵩止辰。自是蕭疎外聲利。從今何處覓淸塵。</text>
<title>輓詞[金汝鍵]</title>,<text>風流文彩世爭看。暎座淸標玉雪寒。早歲金門成大隱。祥麟威鳳在朝端。塞北江南費夢思。天涯同抱楚臣悲。誰知萬里生還日。遽是重泉永訣時。</text>
<title>輓詞[金聖佐]</title>,<text>長沙鵩鳥坐隅飛。慟矣人間萬事非。璧沼今誰懸絳帳。烏臺無復凜霜威。吾林共歎儒宗逝。行路咸悲旅櫬歸。坡老公私不盡慟。緘辭更覺涕盈衣。</text>
<title>輓詞[柳後章]</title>,<text>源源世德屬吾公。早歲雲衢步武通。留犢高標淸似水。騎驄直節凜生風。儒林久矣高山仰。前道如何瘴海竆。點撿平生無愧怍。定應含笑入玄宮。</text>
<title>輓詞[朴世臣]</title>,<text>瑞世祥麟表。風流是我師。明廷傾雅望。昭代振淸䂓。天欲竆吾道。公胡屈大期。江潭不盡痛。無語涕空垂。</text>
<title>輓詞[呂聖擧]</title>,<text>叨蒙剪拂愧駑資。旅邸摳衣問幾時。治世直言人競誦。竆途危行我偏知。佇看前席虛宣室。那道中宵騎尾箕。萬事卽今長已矣。聊將一語哭吾私。</text>
<title>輓詞[申德涵]</title>,<text>龍門邃學有淵源。盛世師儒衆所尊。千里江湖長戀主。十年帷幄最承恩。周耄未返東山舃。楚些空招澤畔魂。緬仰淸風何處是。釣臺烟月尙留痕。</text>
<title>輓詞[宋光璧]</title>,<text>廊廟之材諫諍姿。令公平素我能知。靑鳧聚散三秋夢。白首情親兩地思。也識當今人欲殺。誰言謫裏病難醫。精靈應不埋塵土。認得南箕拱北時。</text>
<title>輓詞[郭壽龜]</title>,<text>云亡非但哭吾私。怨彼蒼天不憗遺。一代高名喬嶽重。三朝雅望搢紳推。那知禁省同僚日。便是湘潭永訣時。嶺老如今零落盡。此生於世更依誰。</text>
<title>輓詞[金泰國]</title>,<text>雅望傾朝著。淸標動士林。行藏惟適義。榮辱肯關心。纔綴離騷賦。翻成殄悴吟。鯫生懷分誼。哀輓涕沾襟。</text>
<title>輓詞[李周命]</title>,<text>秋水精神雪月姿。飄然仙鶴下雲逵。曾輸鯁直爭螭陛。久典絲綸浴鳳池。白日移光擎玉玦。靑山有宅返靈輀。歿寧生順公何憾。燀爀家聲百代垂。</text>
<title>輓詞[李杲]</title>,<text>藥峰之曾孫。皇考大瓢翁。德業由家學。文章邁古風。丹墀獻大策。白簡動天聰。一心惟愛國。時議柰無公。賦鵩悲庚子。化鶴歸遼東。楚些哀吟處。蕭蕭湘水楓。</text>
<title>輓詞[金玧]</title>,<text>詩禮門庭玉雪姿。鵬程遙接鳳凰池。淸名直節朝無右。文彩風流世共推。忽報江潭成殄瘁。堪嗟嶺嶠失宗師。空將此日公私慟。爲寫哀詞涕灑頤。</text>
<title>輓詞[安日履]</title>,<text>小子投荒日。先生泣玦時。何知南北恨。遽作死生離。宇宙高才盡。山河正氣衰。題詞無限慟。不獨哭吾私。</text>
<title>輓詞[金侃]</title>,<text>人物當今第一科。淸班玉立鎭浮華。平生進退明難易。到死忠貞戀國家。歲在龍蛇悲善類。日斜庚子邈長沙。傷心正道孤危甚。不爲吾私淚倒河。</text>
<title>輓詞[權聖矩]</title>,<text>積善流餘慶。簪纓耀後前。遙遙紛趾美。蒨蒨繼生賢。忠孝爲門戶。詩書是業緣。惟公家克稱。於世衆無肩。雅想亭亭玉。淸標的的蓮。羽苞看瑞彩。星象應文躔。萬古歸竆討。羣編入細硏。鯤鵬風九萬。禮樂字三千。慶運身親覩。飛騰人莫先。靑萍難得薛。天驥未逢歅。江縣神明政。山陰父老錢。鸞栖非枳棘。鶴笯脫拘攣。淸地隣三島。瓊班步八甎。羊腸元險劇。末路柰迍邅。休暇長卿病。歸來靖節篇。浮榮眞外耳。我所孰爭焉。恬漠塵心盡。優游一壑專。亨衢明日月。聖渥照坤乾。獬豸登烏府。風霜肅鷺聯。鑾坡隨奉引。文陛更周旋。獨立雲霞表。高居雨露邊。琅函繙奧妙。金櫃賾微玄。密勿司喉舌。雍容侍法筵。對揚言也合。出納命惟虔。石補天無罅。斧修月正圓。中書須案掌。國子望鎔埏。庶展朱絲直。何知玉度愆。薰蕕分臭味。否泰自渝遷。霜夜芝蘭瘁。崑炎玉石燃。江山竆洩濕。風雨近蠻蜒。得失吾何預。菀枯守愈堅。捫躳稜瘦骨。憂國颯衰顚。象魏心長繫。楓林影自憐。靈均騷不作。太傅涕何漣。嶺嶠思迢遞。田園望眇緜。涪翁髭髮勝。澹老護持全。千里脩門阻。三危歲月遄。此身數極也。吾道一竆旃。坐裏藥方掩。江干玉佩捐。旅魂炎海遠。飛旐故山連。行路哀猶相。居停慟益纏。紼謳泣魑魅。素翣慘風烟。古里惟喬木。寒潭自釣船。山容依舊翠。蟾影爲誰姸。定識無南北。還應此泝沿。鶴歸曾幾日。龜卜已云蠲。玉樹埋黃壤。浮生歎逝川。蕭疎病荊棣。錯莫杳雲天。殄瘁民興感。頹摧士抱悁。瓌材未曾試。天意豈終偏。德必祥幷至。仁宜福乃延。諸郞今似續。流祚後蟬嫣。所以徵高行。聊將慰九泉。顧蒙顔色假。常愧性姿顓。忘陋山藏疾。趨風蟻慕羶。命提承款款。膺服矢拳拳。頃在投湖裔。縻官坐海堧。汀蘭愁采采。秋水隔娟娟。面目心馳地。精神手答牋。雖憂瘴有毒。豈意疾無痊。牢落將安倣。聲猷此可傳。世緣長已矣。人事復潸然。舊日黃驪倅。今朝壁版仙。逢迎追曩昔。會合樂聯翩。靡靡存無幾。倀倀獨自瘨。朔風起天末。吹淚灑新阡。</text>
<title>輓詞[門下生權希說]</title>,<text>瓢隱先生天下士。道德文章伏一世。介然獨守崇禎年。風節堂堂懦夫勵。我公之學得家庭。我公之才實天生。馳騁翰墨是餘事。金馬玉堂推儁英。飄飄一鶚整霜翮。首出班行動宸矚。地望嶷然傾士友。君子恃之小人縮。風塵萬事已自覩。佩玉長裾安能利趨走。大人舒卷聽天機。義與來往隨所遇。於乎長沙千里兮竟何爲。身不得年又尤誰。翩翩飛旐返故山。天若有知天應噫。小子及門近卅載。情義綢繆不啻瓜葛交相締。不有先達烏能以自拔。到底陪從承奬誨。南來卧病歲月深。湖海千里絶信音。孰意雅情厭溷濁。白日昭昭但高臨。金谷纔驚巷無服。河上風流更寂寞。高門禍偏天何意。重爲邦家一慟哭。揄揚盛德我不敢。梗槩只拾人耳目。天生韻格自淸高。外物不容留一毫。義理當前勇先生。無慾者剛信聖謨。休休處衆去拘束。日用常行見軌則。居家事君進退間。吾所當爲是吾職。不用屑屑事糊塗。一生所履坦白直。嗚呼弱喪浮生孰非化。惟化之中不朽多。哭公哭私還自慰。聊作一篇長短歌。</text>
<title>輓詞[門下生李明夏]</title>,<text>自是淸流受數奇。先生何病不容時。湘潭謾賦流亡句。邦國旋驚殄瘁詩。白簡千秋霜雪凜。丹心一片鬼神知。坡公當日歐陽哭。說盡無竆小子悲。</text>
