<title>巖上卽事</title>,<text>北望城千堞。西瞻山萬疊。一帶烟波中。漁歌聲斷續。</text>
<title>九曲詩 幷序</title>,<text>中國有武夷山。高三百仞。周百餘里。峯巒之大者三十有六。兩岸絶壁。人跡罕到。淸溪九曲。流出其間。溪上有武夷精舍。晦菴朱先生藏修處。先生作九曲詩。傳于世。今此琴川九曲之佳絶。亦何異於武夷之仙區。但因其地占其名。摸寫風流如晦菴者無之。勝地埋沒。迄無傳之者。今据此地。考驗其實。則頭流卽方丈。方丈乃三神山之一也。秦皇，漢武願見而未得者則山之靈異。奚啻武夷。萬壑千巖。玉溪爭流。流過矗石樓前。則矗石乃嶺南第一溪山也。菁川芳草。豈减於漢陽鸚鵡。琴川之水源。發於頭流。滙而爲菁川。下而爲南江。走而爲琴川。則琴川之九曲。實由於頭流之萬壑。其與武夷千疊之流而爲九曲。有何讓焉。今余旣名其地。爲九曲水。又詠其旨。爲九曲詩。係寫於洞約之後。惟我一洞諸貟。共遵約條。共成美俗。共遊勝地。共賞勝事。熙熙然皞皞然。自然流入於洪荒朴略之世界。不知何者爲是。何者爲非。何者爲榮。何者爲辱。朝如是莫如是。春如是秋如是。今年如是。明年如是。不知年數之將至。可以終吾生而倘佯矣。天壤之間。復有逾於此樂者乎。諸君子以爲何如。浮査野老。書以示諸同志者。						一曲曰鳳鶴臺 在栢洞南。西臨大野。南望長林。二水拖靑而來。三山攢碧而聳。千尋翠壁。左遶右廻。百株蒼松。前挺後陰。兼鳳凰臺，黃鶴樓之景。故名之曰鳳鶴臺。						一曲流廻鳳鶴臺。澄澄漾漾鏡新開。三山二水今猶古。愧乏詩仙泣鬼才。						二曲曰黃柳淵 在鳳鶴之北。深有舟。淺有步。						二曲溶溶黃柳灘。明沙白石走瓊湍。漁翁不管興亡事。唯伴沙鷗把一竿。													三曲曰馭風亭 在數鴈亭之西。千仞危巖。府臨鮫窟。百尺長松。挺立巖上。古有亭。今無矣。爲一方名區。遊人携酒往來者不絶焉。魚灌圃冥鴻亭上梁文。所謂馭風亭昡難不窺者也。						馭風仙子去無蹤。三曲巖邊百尺松。淼淼烟波誰管領。舊磯無主碧苔封。						四曲曰卧雲瀨 在北坪西。長潭一帶。橫截十里許。瀨上有平蕪甚廣。洞人春秋修禊之地。						耕雲西畔卧雲汀。四曲長潭淡更渟。九九三三修禊地。風流何似晉蘭亭。						五曲曰赤壁灣 在水淸渞之南。或曰吳谷在其東。古之赤壁在吳地。亦從吳字。而有是名。未知是否。其東。紫崖環遶。故名之曰赤壁。上下有淵。兩淵之魚。往來之路。春水生。漁人網集。故有漁卽携網逐新流之句。						月白風淸壬戌秋。蘓仙乘興泛蘭舟。五曲如今誰作主。漁卽携網逐新流。						六曲曰松江津 在松岡下。故以松名。一名龍堂。昔者。吾友河子常。結齋棲息於其上。今亡矣。夫古松江甫里子所隱。故有江湖散人之語。津有舟。						我是江湖一散人。行裝隨處任天眞。六曲澄澄烟浪闊。筆牀長與白鷗親。						七曲曰伴鷗洲 在浮査東。丁酉夏。翁避亂金陵。庚子春。始還鄕土。避暑於此。仍以伴鷗名之。詳在伴鷗亭記。													伴鷗亭下伴鷗洲。曾是閒翁占斷丘。忘機忘世兼忘我。七曲知爲我菟裘。						八曲曰臨江亭 在挹碧堂之東。由亭下直走鉢峯前者。自古名之曰烟雨溪。由今觀之。蒼山骨立。碧水奔流。奇形異態。絶妙於朦朧烟雨中。正似畫圖濃墨之狀。故以是名之歟。						步出江亭泛小舟。倚舷南望水連天。欲知八曲添奇狀。烟雨空濛滿一川。						九曲曰瓊心潭 牙山之北。有大遯洞。洞口。有瓊新潭。潭之左右。有絶壁雙峙者。左曰鶴棲巖。右曰瓊新巖。巖下長川之深且澄者。謂之瓊新潭。到此則山益靑。水益綠。山光水色。相蘸而無他色。綠楊白沙。相映而無他物。人烟逈隔。仙趣頗多。翁喜之。每於春秋。携冠童乘小艇。或漁焉。或樵焉。短棹輕橈。往來無節。鶴棲巖之上。欲營數間精舍而未能焉。													翠壁千尋擁碧泓。山增而綠水增淸。行尋九曲更佳絶。問與武夷誰弟兄。</text>
<title>養直堂 八詠</title>,<text>兩三茅屋竹林邊。暮暮朝朝起翠烟。若使連連無斷絶。可知昭代太平天。右竹林炊煙						江水磨銅鏡樣淸。夜來漁火燦星明。不知何處寒山寺。未聽䟽鍾夜半聲。右江天漁火						五峯連亘遶東邊。翠益森羅上上巓。欲識後凋無變節。要看霜雪歲寒天。右嶺秀蒼松						晴嵐橫帶碧山腰。添助詩人逸興飄。安得龍眠揮彩筆。移將此景八鮫綃。右山帶晴嵐						秋來潭水絶塵淆。月色波光上下交。一理淸明誰會得。請從邵子問其要。右澄潭皓月						翠壁周遭廣野東。霜風時起耀丹楓。憑軒一夕成眞趣。欲詠還嫌語未工。右翠壁丹楓						漁人網集三仙島。枕石披簑卧月明。夜深水寒魚不食。空敎閒唱兩三聲。右南島漁歌						春草茸茸翠色交。呼朋呼犢向東郊。橫吹短笛聲三兩。誰辨宮商與六么。右東郊牧笛</text>
<title>謝南兵使 以興 饋碧魚</title>,<text>半生江海一窮民。八九光陰夢裏春。對案幾多彈鋏歎。臨淵長作羨魚人。柴門忽見朱衣使。蓬戶仍傳碧海鱗。多謝將軍憐老悴。却慚無路答鴻仁。</text>
<title>雙溪寺八詠樓感舊吟 丙辰</title>,<text>明月雙磎新梵宇。淸風八詠舊仙樓。興亡百轉雲南下。世代千回水北流。晝靜楓林雙蠟屐。夜闌松榻一茶甌。誰知十載廬山客。重到岳陽雪滿頭。</text>
<title>江上。遇鄭察訪 允穆。○戊午幷記</title>,<text>鄭允穆。故相國琢之子。戊年夏。翁携凌虗遊百泉寺。來路。憇虎灘江亭。適遇鄭召村。鄭欲吟詩以贈我。我亦心草欲贈。鄭索紙筆於亭主。亭主不事紙筆者。求之不得。兩不寫出而散。鄭相國敎授晉黌時。翁學尙書而讀之。時年十五。屈指計之則已五十八歲。到今思之。寧不悵然。一篇都以其時事言之。						老我年今七十三。弱年曾拜相公函。伏生口授心猶記。劉向心傳口尙諳。烟樹微茫江左右。雲山迢遞嶺東南。逢君更感儀形在。欲說當時語未堪。</text>
<title>東都懷古</title>,<text>鷄林黃葉起西風。玉笛聲中逝水東。五十代傳宮礎在。一千年過殿基空。亭名鮑石秋蕪錄。臺號瞻星夕照紅。陳跡依然悲麥秀。撫琴閒坐送飛鴻。</text>
<title>西都懷古</title>,<text>肇自檀君逮太師。封侯立國始堯時。星分箕尾䧺東土。地接高句界北陲。人貴揔兵唐鎭設。右渠違詔漢軍夷。悠悠興廢東流水。芳草離離舊殿基。</text>
<title>與百忍齋李子擧 鯤變 韻</title>,<text>朝發東城汝順家。霜花着地白如沙。疲僮戰慄膚將裂。瘦馬凌兢步欲蹉。自笑浮生携短策。堪憐沉晦抱長嗟。回瞻海北山千疊。遙憶美人天一涯。</text>
<title>和河子敬 性 鳥嶺途中韻</title>,<text>虎豹耽耽守九閽。丁寧天語寂無聞。誰懷血䟽辭南國。獨抱深憂出北門。嶺路間關秦樹隔。洛波溶漾楚江分。前途莫歎多荊棘。擬上蘭皐與子耘。</text>
<title>和挹碧堂韻</title>,<text>衆峯飛舞自崆峒。相對軒䆫翠似葱。一水拖靑圍舍北。萬竿抽碧繞墻東。眼通鷗鷺蒼茫外。思入雲烟杳靄中。欲賀華堂今肯構。誰知五世一衰翁。</text>
<title>凝石寺。與趙瑩然 㻩 兄弟相和。庚申</title>,<text>爲人性癖尋佳境。酷愛溪聲分外淸。入洞喜聞人語響。傍林欣聽鳥嚶聲。夜憐嶺月憑虛閣。朝愛巖雲倚盡楹。聯轡聯襟仍共枕。遨遊物表儘多情。</text>
<title>與鳳岡訪凌虛書樓。仍次其韻。</title>,<text>高樓新起敝軒楹。野老來登眼轉明。北望菁川芳草嫩。西瞻方丈暮雲橫。鞱光山野非求利。散跡江湖豈爲名。大叫梟盧忘世事。閒中此樂有誰爭。</text>
<title>次鳳岡會睦鄰亭韻 三首○亭在琴山黃柳灘之上</title>,<text>歷覽頭流與集賢。毫端時見起風烟。欲驂喬鶴超塵世。擬駕簫鸞學地仙。望裏危巖波裏倒。眼中眞境夢中懸。多君更友能詩弟。康樂應誇有惠連。						送春佳會碧山頭。賓主東西辨勝遊。大野四圍靑似染。長江中割綠如油。仍知物性乾坤惠。轉覺人生宇宙浮。簪盍良辰眞一幸。須將歡伯破千愁。						我住浮査君鳳岡。亭雲煙樹杳蒼蒼。交連父子唐韓李。義結婚婣晉謝王。共轡賢山遊梵宇。聯襟玉洞訪周庠。奇巖知在滄江上。欲馭泠然倒玉觴。</text>
<title>贈崔汝凝 </title>,<text>君是中原第一人。漂流嶺表已三春。胸藏萬卷師賢聖。筆走千篇泣鬼神。內守裕如寧外慕。簞瓢自樂不憂貧。江東老叟相思久。安得移家接孟隣。</text>
<title>上法界寺</title>,<text>超然身世出人寰。隨處仙區景物閒。松碧巖邊烈士氣。楓丹壁裏醉人顔。杯看衆海蒼茫外。塊視諸山杳靄間。嗅取仙童來駕鶴。明朝上謁紫皇還。</text>
<title>挽郭忘憂堂 三首○丁巳</title>,<text>玉京曾作玉皇臣。謫在人間七十春。書劍行裝甘沒齒。刀圭計活任全身。匡時直䟽掀天地。制敵奇謀動鬼神。莫道重泉終閉魄。長虹應已化星辰。						恥隨流俗共沉淪。獨守衡茅樂養眞。千駟未回伊尹志。萬鍾寧奪子輿貧。傷時淚灑巾沾血。憂國誠深鬢失春。莫道茹松追異術。留侯豈是學仙人。						俱是姜家外派孫。枝雖殊萬幹同根。菩堤寺裏書千卷。嘉禮村中酒一樽。往事悠悠誰解說。秋雲漠漠向天昏。蓍龜一失林鴉滿。何處人間聽直論。</text>
<title>挽吳府尹</title>,<text>曾卜芳隣襲玉芝。通家來往許心知。夜闌池閣詩千首。春老溪堂酒一巵。滿地干戈長作別。連天雲樹幾相思。屋粱殘月驚孤夢。回首榮陽淚自垂。</text>
<title>挽李梧月堂 惟諴○壬子</title>,<text>琪花苑裏玉麒麟。來作金閨第一人。江左臨民民頌德。湖南佐幕幕興仁。忠勤志篤由誠懇。友愛心純出性眞。餘慶綿綿流不歇。一庭蘭玉揔振振。</text>
<title>挽河滄洲 憕○癸亥</title>,<text>駒隙駸駸石火忙。來從何處去何方。晉鄕三姓河爲大。筍氏八龍爽最良。伯道無兒天漠漠。巨卿有淚地茫茫。盟成偕老還同穴。瞻望雙㫌自斷腸。</text>
<title>挽姜士孝</title>,<text>孝子名家舊翰林。賢孫今又繼徽音。雍容美質溫如玉。謹厚風儀煥若金。身有善行人共愛。心無慙德衆皆欽。去年秋暮華堂話。今日誰知寄挽吟。</text>
<title>思歸吟</title>,<text>我來正當春暮月。紅白花稀烟雨中。我留仍過四月天。綠樹陰裏生淸風。光陰冉冉不待人。鷰舞鶯歌空斷腸。多端愁緖寄短篇。思歸未歸歌更長。</text>
<title>山中吟</title>,<text>三仙出碧洞。暫向人間遊。歸來蘭若靜。桂樹山之幽。卧白雲弄紫霞。與子同淹留。</text>
<title>返舊居行 乙酉</title>,<text>我家何在江之南。一去飄然遊四方。齊郊燕市或悲歌。秦山楚水空彷徨。迍邅歷落極備嘗。然後始得還家鄕。鄕園依舊物色全。竹閟淸陰梅吐香。堂室庭階各有序。門巷淸幽眞趣長。回思疇昔容遊處。猖披蹤跡如癡狂。從玆雖得奠居樂。却怕蘭畦荊棘荒。幽貞不遷願不貳。勿放鷄犬爲人攘。</text>
<title>記所見一章。章五十句。庚子</title>,<text>今春創立浮査亭。上覆以草下未餙。今秋準擬歌落成。借力伐材東吳谷。東吳之山高薄天。老脚登登或顚蹶。隨匠攀蘿上上頭。瑤草如茵倚石角。丁丁斧響亂巖巒。落落長松幾千尺。龍顚虎倒頃刻間。白刃閃閃山鬼泣。霜皮溜雨削如苽。長短方圓任繩墨。旣歎良材有遇時。又喜良工能食力。無何白衣翩翩來。云是姜家雙白璧。披雲尋到我所在。獨坐聞跫寧不悅。草樹蓊密路且阻。問爾何爲來欻忽。曰吾兄弟相謂曰。丈人孤眠在山脊。盍往見之於其間。半日偸閒慰岑寂。所以持竿緩緩行。垂釣溪頭引金䱶。投焉曳焉一罩盈。不似昌黎溫水得。大者膾之細者烹。炊以香粳間黃栗。單僮丱婢負且戴。盤中飣餖稍羅列。嗟嗟此意良以勤。看來感歎情何極。食之何憚腹果然。飽飫轉覺輕侯伯。俄然兩生忽辭去。役罷陰崖生暝色。驅羸暮投柯亭村。村是柯亭無蔡笛。籬落蕭條鷄犬稀。黃昏憇息一茅屋。主翁姓名崔鐵文。夫婦同居皆白髮。年老貧窮無子孫。明知不遠顚溝壑。明松饗我一笥果。赬虬卵與靑皮菽。自言生長此村中。目見太平時日月。風淳俗美耕鑿安。塵淸四海狼烟熄。那知將老遭亂離。蕩盡家財竄巖穴。如今縱得返鄕土。十死餘生難更活。况復年年徭賦煩。吏胥日日催科急。催科雖急筋力衰。翁姑營家有何物。賓來陋幕待無計。但願身安宿溫突。怡然就寢夢寐甘。喚起聲中䆫已白。平明騎馬出林外。南陌東阡晩稻熟。松峴逾來過松岡。擡看胡爲令我慼。平生知己河故人。構齋蒔梅此棲息。翛然襟韻逈出塵。皎如玉樹風前立。何幸吾生托末契。自期陳雷膠裏漆。勸我誅茅斵南崖。將使欄楹壓蛟窟。巖棲相對互來往。有似溫生洛南北。佳期未遂事已訛。落日山陽空躑躅。遺墟寥落墻砌頹。一區風烟屬樵牧。靜言思之傷我心。惟有長江流不歇。流不歇兮渡須臾。瞻望査亭載馳疾。柴扉剝落卧不關。知是迂儒生理拙。兒孫拾栗見我至。爭來挽衣誰嗔喝。室中雖無酒一樽。案上便有書千帙。開卷高聲讀一遍。如病得蘇心快豁。千年謨訓載昭昭。萬古興亡看歷歷。此行不可無一語。聊命尖奴記顚末。</text>
<title>記所見長篇</title>,<text>萬曆庚申三月暮。浮査野老騎驢出。先登方丈訪隱淪。又八賢山叩石室。行過桐林詠思舊。桐林古有崔君宅。崔君乃是吾故人。舜欽其名字汝一。貧居縱乏朝夕資。養親常看甘旨足。聯襟蕭寺對黃卷。懸髮明燈恒兀兀。今來往事杳如鴻。倀倀孤形等遼鶴。三君云是晉鄕一。凛凜高義秋天薄。尋眞同御欵段行。澗水交流鳴㶁㶁。山花落盡山鳥啼。只有千層紅躑躅。揮鞭朗吟野興狂。忽見禪宮高嶢屼。胡僧六七乂手迎。巾白衣緇無舊識。東溪石面舊蹟存。觀瀾臺字蒼笞刻。勝跡還爲水伯怒。狂瀾觸劈溪心矗。徘徊石盤弄潺湲。繼以綠酒三杯酌。僧言山寺無別味。肴以園蔬與山蕨。俄然碧樹暝色生。促返松䆫倚松榻。夜深靜卧百念灰。向晦方知入宴息。籧籧夢覺曉鍾動。樓頭缺月窺䆫隙。精神灑灑塵慮斷。入定閒僧共寥寂。杲杲日出未欠起。身靜心閒誰我若。嗟嗟此行非偶然。回首人間塵幾尺。他年如得續玆遊。寄語三君須記憶。</text>
<title>遊仙辭。贈趙鳳岡。</title>,<text>龍不必在深淵。斗水可以潛其鱗。虎不必在深山。叢薄猶能隱其身。仙人不必在三山。塵間尙可頤精神。君居鳳岡我浮査。咫尺相望爲芳隣。神遊物外任蕭灑。汗漫作伴喬松親。今來牙刹又同遊。靑牛行色伊溪濱。松䆫晝永午睡足。枕上剩作羲皇民。丁丁一局鬪雌雄。却忘世事浮雲新。床頭又有謫仙詩。麗句吟來能養眞。君乎君乎聽我歌。何必躡方壺友子眞。然後方可謂之神仙人。</text>
<title>逢君話君歌一闋。贈送李提督 三省 赴重試之行。</title>,<text>逢君矗石樓。十年前亂離中舊面目。話君四敎堂。河汾上文中子。湖學裏胡安定奮事業。菁莪化洽靑衿徒。文行忠信中彀率。堂階立馬繫浮査。浮査主人。待以三杯薄酒一盂鷄黍心內恧。如今又向漢北行。期上龍門三級上又一級。關河千里愼行李。行路難行澁如棘。今余送子。贐之以先聖六字符。言忠信行薦敬也無他說。知君平日慥慥行。黃卷遺言已佩服。終能排紫闥入靑雲。九萬雲程趍步闊。狂歌一曲。代送渭城一杯酒。大丈夫淚何須灑離別。好歸去好歸來。秋風江上一樽酒。携手共行樂。</text>
<title>遊頭流山詩 幷序○癸亥</title>,<text>世稱病之難醫者謂之癖。故人之嗜之過於中者。亦謂之癖。是以。杜氏有左傳癖。鄧公有好馬癖。余謂余之遊覽。其殆謂之癖乎。余之齒今至七十有八歲則可謂老矣。人老則不能升高也歷險也者。脚力衰矣。氣力疲矣。而猶不自揣也。猶不自止也。强與年少輩作隊隨行。或扶之。或負之。登覽億萬丈高峯然後已。其爲癖爲如何哉。余之癖如是也。故少時。遊京師登白雲臺 三角山中角。路絶難升處。 中年。遊中原登鷄足山。在忠洲。寺有牛庵。 臨老。過東海沿邊六邑 寧海，盈德，淸河，興海，延日，長鬐。 遊觀焉。如東都。登鳳凰臺。訪鮑石亭。月城，鷄林之跡。亦皆搜剔而尋向焉。至以近者言之。則入紅流洞者再。入靑鶴洞者五。入神興洞者三。入白雲洞者一。今又登覽頭流山上上峯。則此老遊覽之癖。抵死難醫。堪可笑也。於是作遊山詩一章。凡八十六句。詩曰。效歐陽公廬山高體。用韓昌黎南山詩語法。						頭流之山。高不知幾千萬仞兮。截然屹立乎南極。東有辰韓之舊都。西有百濟之故國。北望五雲中。中有蓬萊之宮闕。分宅占丁戊。後白岳前木覔。美人兮美人兮。不知爲朝雲爲暮雨。使我思之心惻惻。下壓乎后土。上薄乎穹蒼。獨秀乎雲表者。乃是天王峯之突屼。擁乾竇撑西日。崔嵬而對立者。亦有般若峯之崒嵂。湖南之瑞石月出。江右之伽倻闍崛。低頭而屈伏。無異乎臣妾。金鰲在昆山。卧龍蟠泗南。錦山峙花田防禦界晉咸者。等加泰山之於丘垤。或靡然東注。或偃然北首者。安陰之德裕。聞慶之主屹。或似龜圻兆。或若卦分繇而纍纍然巘巘然參參然煥煥然。不可得以名焉者。衆山之環拱于玆山。而分列乎東西南北。吾儕結約洗心亭。同行數子憁是豪。而特秋風忽起凌雲思。手持靑藜足芒屩。堂堂趙瑩然。身長九尺兮儀容仡仡。斷斷金汝輝。琅琅乎𤨿𤨿乎山立而玉色。曹家兩少年。抱奇才多淸趣。鳳之雛蘭之茁。鎤也隨杖屨。云是家豚犬末。隣僧又有彦海名。招爲前導飛杖錫。聯裾作隊泝淸流。璆璧鏗然走白石。公田村外日將西。薩川堂前月已白。鞭驢急投黃店中。覆以橡皮扉以竹山。家室少衆難容。分占便宜宿溫突。夜半翁忽痛河魚。瀉痢如流如廁數。朝來擡看氣薾然。似有命物兒猜我尋山窟。翁年縱衰志不衰。嚥以白粥安我輪囷之腹。朝哺蔬糲氣如常。肎以微恙行還輟。因與諸君向前路。伽葉麻田地名曰。捨馬携杖始登登。雲林蔽天兮苔石錯落。有人呼號久乃至。陳君汝明追而及。黃眉靑眼許同遊。風懷亦可謂不俗。攀緣石磴寸寸進。脚顫息急生偪塞。同行有一奴。仙僕其名多膂力。挽我背負之。不憚險易能超越。有人束火來照之。黃昏走入法界刹。將身已置冣高處。快若乘風向寥廓。頤神安寢塵念灰。俯視人間等蠓蠛。淸晨夢罷待朝起。手闢東䆫看日出。東方漸入紅錦中。火輪輾上滄溟角。六合淸朗玉燭明。物像森羅千萬億。江流爲帶束諸山。何地是秦楚。何地是吳越。玆地絶翔走。但見蒼松碧檜雜丹楓間翠柏。東蹲世尊峯。石角如人立。西峙文昌臺。孤雲遺舊跡。人言石刻有仙筆。路險境絶無由覿。堂中有何物。西南壁下坐石佛。便有無窮求福人。脫冠攢手拜僕僕。遠近男女老少贏糧齎帛。綿綿焉延延焉。前來者下。後來者上。盈庭塡路無時絶。甚矣惑世誣民之說。能使愚氓競陷溺。天王峯上又有聖母祠。俗傳高麗太祖母。死而爲神此焉託。或云釋迦之所誕摩倻夫人。來坐神山自西域。荒唐衆說何足信。但見塑像塗粉施丹衣錦帛。何人倡此無稽語。擧世波奔恣淫瀆。嗟哉汚俗難滌去。噫乎舊染難變革。昔有浮屠天演者排門突入。撞碎神軀投絶壁。吾儒只守敬而遠之之訓。不爲謟不爲䙝。閒笻隨處任遨遊。遍踏名區無局束。東望牙山靑未了。知是吾家在其麓。浮査伴鷗寄幽棲。一瓢生涯萬卷榻。生逢聖世爲棄物。在澗之薖矢不告。今來閒放物表遊。世事紛紛一隍鹿。蒼茫烟海浩渺外。誰令染齒爲窟穴。連年信使縱相通。時時來肆蠭蠆毒。龍蛇亂離那忍道。三京失守兮廟社幾顚覆。搜山賊鋒遍玆山。殺人如麻兮腥血汚草木。何幸如今聖化覃被乎四裔。海不揚波兮民物安耕鑿。吾儕得遊山水間。一一無非由聖澤。身高天不遠。頭上星辰手可摘。步闊意何長。萬里山河輸一矚。玆山得名有三稱。頭流智異方丈載古籍。頭流山逈暮雲低。李仁老詩尋靑鶴。智異山高萬丈靑。圃隱先生贈雲枘。方仗山在帶方南。杜草堂詩中說。玆山神異自古傳。知是千秋名不滅。况乎東海中三神山。方丈居其一。儲祥産異無絶時。山上多生不死藥。秦皇漢武求之而不得者。此日輸吾雙蠟屐。左挹洪厓右浮丘。儘是神仙中骨格。餐霞步步拾瑤草。回瞰人間塵霧合。仙遊旣了返飈輪。飄飄乎身世。灑灑乎精神。浩浩然如有得。吾不知夫子之登泰山登東山。程子之藍輿三日。晦翁之雪中南嶽。亦如今日之豁心目。又不知張騫之乘槎。劉安之雞犬。王喬之控鶴。孰如吾儕今日之恣遊樂。古今人同不同未可知。只與造物者爲徒而逍遙乎山川之阿。放曠乎人間之世。無所拘而無所縶。勝事不可忘。歸來記遺躅。年是昭陽大淵獻。月乃楓丹菊花節。書於敬義西翼室。日則靑龍旁死魄。</text>
<title>舠樵辭</title>,<text>江湖有一翁。學焉而不適於時。十年操瑟兮。兩鬢華髮風蕭蕭。耕也而不逢於年。甁無儲粟兮。一瓢顔巷日空高。休休焉無營無思。對黃卷而囂囂。妻慍有語曰。炊無薪。鼎裏之黃粱未熟。突無煙。夜窓之玉樓遍粟。甚矣子之迂也。學孔席之不煖。效墨突之不黔者耶。一寒至此。子何以爲心。子如薪之。請爲子漑彼釜鬵。翁曰諾。於是。倩扁舟挹碧主人。縱一葦煙雨長洲。水光瀲灎。碧玉一片含淸秋。山色葱籠。錦繡千層▦碧流。扣舷而歌之。追蘇仙赤壁之遊。菀爾而笑兮。詠漁父滄浪之謳。漁父詞第一章曰。雪鬢漁翁住浦間。自言居水勝居山。其第九章曰。一自持竿上釣船。世間名利盡悠悠。翁於是。繼其詞。作舠樵之詩。詩曰。瞻彼牙麓。榛楛濟濟。薪之樵之。泛泛其逝。印烘于煁。君子樂愷。君子樂愷。永矢不改。又從而爲濯纓之歌。歌曰。濯纓兮江之潭。採薪兮江之南。坐白石兮藉靑蒻。聽松風兮邀素月。淡忘歸兮日將夕。</text>
