<title>次陶靖節四時吟</title>,<text>春花堆萬壑。夏樹蔭千峯。秋光黃入菊。冬色翠留松。</text>
<title>閒中伏次雲谷十二詠 還家似不著題。而所住處便爲家。</title>,<text>迢遞關河路。躋攀多截嶺。仰看謂接天。陟盡天更永。若爲搔首問。使我心耿耿。登山烈風起無端。折我中林木。能令晝晦幽。仍致雲翻覆。聖人昔不迷。所貴心無恧。値風端居絶世紛。一氣中夜肅。皓月若相期。幽尋林下屋。淸明本如斯。永矢寤歌獨。玩月靜對古人書。自可怡日夕。學子有時來。忠告心無極。窮命恐累渠。世路方曛黑。謝客稼穡信維寶。民事未可緩。昬作思無外。但祝車篝滿。耦耕豈果忘。浪說人長短。勞農大道在日用。非空亦非冥。講劘資最大。敬怠界實爭。索居成固陋。况敢自遑寧。講道眷言同心子。偲偲藝苑游。共惜流光逝。相期正路悠。空成千里別。自顧愧無猶。懷人神駒早騁武。蘭臯又椒丘。末路足坑穽。空懷踡跼愁。伏櫪分所甘。何心千里游。倦遊幽人澹無事。衡門晝常關。尙有陽秋筆。每思誅巨姦。立言寧我職。焚藁老巖間。修書開戶對南山。盡日看不厭。無言道心長。有書愚情砭。如何谷中雲。謾攪當世念。宴坐庚熱喜漸祛。振策深樹底。快哉風灑襟。冷然石漱齒。早粟報先秋。煙生山下里。下山別恨空千里。歸夢欲九秋。野色鷗邊出。嵐影馬首浮。琴書共情話。樂天復何憂。還家</text>
<title>敬次朱詩開善避暑兩絶</title>,<text>火雲鎭日霾山村。深巷無人倚小門。淸唳一聲孤鶴去。風林何處翠陰繁。食罷尋常氣欲昏。南牎亭午暑更煩。箇中一點淸凉意。高樹寒蟬爽韵存。</text>
<title>安邊金生示程詩。言近因損友。調格日卑。</title>,<text>年少才資爾自奇。下喬入谷漸趨卑。從盲問路還堪笑。懶拙平生不解詩。</text>
<title>感館人言。綴成哀樂吟。幷序</title>,<text>館人爲余言。古稱樂極哀來。其有以乎。粤在庚戌甲觀之祥。近而畿甸。遠而邊徼。於是月。酒食以導和。歌皷以餙喜。共說海東千載。樂莫樂於六月之月。上穹不吊。庚申攀弓之痛。又在是月。六月之月。又爲東民悲莫悲之月。其言良可傷也。傳曰。樂民之樂者。民亦樂其樂。憂民之憂者。民亦憂其憂。惟我新陟王深仁厚澤。浹人心髓。膺慶而八方與之同歡。禮陟而萬姓爲之茹慟。勳華之聖。何以加此。尙幸震鬯有主。恤宅得宗。綴衣出庭而都門夜開。號擗方深而謳歌允屬。回視庚戌以前國勢岌嶪之時。更何如也。玆實祖宗餘慶所及。而天之眷佑我先王亦在是。然則是月之哀固無窮。而是月之樂。其可忘乎。夫以塞外寒蹤。一樂一哀。不敢忘吾君。又可尙也。若昔華渚虹流節。歌鼓歡聲動八方。共說六月之樂樂無央。一自鼎湖龍去後。萬姓如喪考妣終三霜。是何六月之哀哀更長。樂其樂哀其哀。於戲不忘惟前王。不是哀來緣樂極。其如天運人事苦不常。所幸先有此樂後此哀。宗祊萬歲恤無疆。又休無疆。</text>
<title>霾雲捲盡。天宇廓以高。</title>,<text>長空雲四捲。今日上天高。野逈峯巒出。林虗魍魎逃。韝鷹思一掣。社鷰喜雙翺。但保淸明體。塵氛乍有無。</text>
<title>雨中。隣婦擷黍而歸。村閭艱食可念。</title>,<text>豳郊歌七月。民産正艱難。塲圃新登早。甁甖舊貯殫。水田纔摘黍。夜食未盈簞。一飽在同稼。官租倘少寬。</text>
<title>少陵詩。有七月六日苦炎蒸之語。步其韻。</title>,<text>新秋餘熱尙如蒸。逸翮將翺奮未能。韓子何心曾喜蝎。歐公多事却憎蠅。由來天道凉炎嬗。還似人情失得仍。最怕貫魚前未已。陰凝容易致霜冰。</text>
<title>巧夕戲題</title>,<text>佳辰爭乞巧。謊語竟誰傳。蛛絲盤上設。鴛針月下穿。何事吟蘭客。伉拙不自憐。求齊瑟未工。效越嚬亦姸。忠貞古郭子。猶復拜天仙。隱几笑不語。愚智揔其天。續鳧誰成鶴。跛夔或憐蚿。巧若祈可得。世人盡先鞭。拙性不慣乞。顚沛心豈遷。民生各所樂。永矢守吾玄。</text>
<title>卽事</title>,<text>霾雲終日掩柴衡。賴是幽居近物情。雨外村舂朝暮意。山前羌笛短長聲。燕將數子穿花語。蟬得微風上樹鳴。萬品由來皆自適。何須戚戚惱吾生。</text>
<title>謾成</title>,<text>塞北秋聲早。山南客路遙。寒鴉啼白日。老木上靑霄。韓子空驅鬼。揚生枉解嘲。幾時蘇肺氣。殘暑未全消。</text>
<title>官舍南有魍魎作怪。白日投石如雨云。</title>,<text>咫尺郡齋外。魍魑白日行。虗空飛木石。士女怯風聲。夏鼎千年古。秋燐一氣爭。明時何此物。回首洛陽城。</text>
<title>戲作回文體</title>,<text>懶拙空心壯。悠悠任轉蓬。夜深宜霽月。秋早已光風。鴈落留汀荻。舟行繫岸楓。浩歌仍適意。浮世笑悤怱。壯心空拙懶。蓬轉任悠悠。月霽宜深夜。風光已早秋。荻汀留落鴈。楓岸繫行舟。意適仍歌浩。悤怱笑世浮。</text>
<title>次少陵韻</title>,<text>林居無一事。爲客亦尋初。得月吟肩聳。乘風步屧徐。氣蘇煩暍後。症毖太陽餘。山徑茅塞久。獨行易躊躇。寒水團秋月。淸明萬古心。雲烟俄遠壑。風雨又中林。幾日重磨鏡。同人利斷金。徘徊空歲暮。竚立一長吟。萬里滄江曲。春來一繫船。依人憐病馬。懷友聞淸蟬。肎作悲秋士。長瞻欲雨天。持門任子姪。經籍是靑氊。</text>
<title>夜誦赤壁賦。謾成。</title>,<text>壬戌七月月旣望。月白風淸天宇曠。風流蘇子去不歸。桂棹蘭槳淸渭上。幽人不作汗漫遊。懾處閒齋齋似舫。有耳不聽郢客歌。有口不飮吳姬釀。盈虛如彼逝如斯。萬事人間都已忘。獨有一片心不磨。渺渺天涯予美望。予美婉孌守空閨。夜永天寒將安仗。渭濱從古釣流多。倘與同歸就善養。一枕更做遊仙夢。丹藜道人應相訪。</text>
<title>取老杜秋興韻。排日爲課。</title>,<text>羣鳥啾啾集晩林。庭中一樹已蕭森。羈居浪喜天新霽。書幌偏知夕易陰。弄月吟風渾謾事。登山臨水更何心。千秋勤儉唐詩意。聆取孤城夜夜砧。何處驚寒鴈字斜。却疑庭月放霜華。臯鳴正返遼陽鶴。天問誰乘海上槎。漢幕無人秋講劒。胡江歸筏日聞笳。衙蜂獨效賢勞義。飛向山田蕎麥花。元知不著是高棊。飜覆人間未足悲。萬事喬山遺劒後。孤臣楚澤珮蘭時。畦邊野雀歡相競。霜外饑鴻去獨遲。尙愛秋陽臨下赫。負暄簷角謇誰思。碧嶂陰陰帶夕暉。獠烟虺霧遞霏微。秋江寂寞鰌爭舞。漁火冥濛鷺自飛。楓菊郊園時正好。芝蘭歲暮計全違。癡情不解覊愁苦。人道衰容近更肥。天險西州萬疊山。幾番興滅百年間。寒烟暮鎖朱蒙國。孤鳥秋歸靺鞨關。風物儘佳非故土。病軀無事且怡顔。夢魂慣向前遊地。頖舍逢迎揔舊班。斜陽閒步渭江頭。目極關河萬里秋。君子須知窮處樂。明時寧作酒中愁。一聲長笛歸黃犢。自在輕舟傍白鷗。朔鴈紛紛山外去。如何南望是安州。四時相代贊玄功。生養收藏一氣中。拂筴閒推姤復理。調絃迭奏徵商風。葭汀露下蒼還白。楓岸霞明紫亂紅。自笑吾人何所就。鬢毛蕭颯已成翁。楚山秦水勢逶迤。秋雨霪霪滿小陂。拍地匏花成晩實。待人籬菊有霜枝。村娥惜暮杼常促。海賈乘凉舤屢移。何事風窓鑽紙客。吟邊忘却老垂垂。</text>
<title>無題</title>,<text>隔江天一握。循郭嶂重圍。故國秋將半。邊山客未歸。水凉魚獨樂。雲遠鴈雙飛。傳札元虗語。心知此世稀。殘堞迷紅樹。四山多白雲。館人曾業武。對客每論文。慷慨懷中簡。跅弛塞北羣。寒燈挑不已。蟲語夜深聞。</text>
<title>邊情</title>,<text>雲歸黃草嶺。江出白頭山。蔘戶先秋往。貂人待雪還。有時驚柝起。忽地怒弧彎。邊防須嚴謹。四州舊設關。</text>
<title>晦翁九日詩故國音書杳一方。天涯此日思茫茫之句。正道自家心中事。敢敬次。</title>,<text>重陽時節客他方。千里鄕關隔渺茫。白酒黃花非昔日。亂雲丹葉是窮荒。讀書太懶容人笑。忤俗無端愧我狂。巖桂不知搖落事。西風獨立送幽香。</text>
<title>見月色淸寒有感</title>,<text>閒庭曳履動淸商。三復鄒書夜氣章。萬籟靜時天似水。纖雲收處月如霜。箇中好見虛明象。前哲昭垂保養方。莫恨如今迷復晩。電光消息怕旋亡。</text>
<title>偶吟</title>,<text>四十五年無聞士。千七百里未歸人。經淡史熱功誰幷。口誦心惟見始親。志帥終然難率氣。病魔何事又嬰身。益知偲切工夫巧。思得良朋共輔仁。</text>
<title>儼弟來到。離家八朔。兄弟始相對。</title>,<text>面我爭如心我心。霜風千里枉相尋。狂踈不作離騷恨。跋履謾勞急難吟。勉學課兒居者事。加餐愼疾客中箴。逢塲先念分時苦。寒月終宵照薄衾。</text>
<title>此弟每患心地不靜。帖使歸讀心經。</title>,<text>昔人顚沛必於斯。千里相逢意更冞。况復纍蹤難會合。其如獨學易遲疑。客中自有安心法。歸後須同對榻時。絶域論經還勝事。雲愁月恨兩忘之。</text>
<title>兄弟雨中談討。却思古人風雨對床之語。</title>,<text>天涯搖落正關情。風雨匡床對弟兄。鹿野分裾今八月。燕城剪燭又三更。問酬鄕語渾閒事。提掇吾心有古經。百歲通泉誰復此。要從日用懋明誠。</text>
<title>公望欲同住過冬。以兒曹課授。強令復路。</title>,<text>一謫猶傷兩謫何。家間課學况難蹉。但將別恨移新業。憂戚中間得力多。</text>
<title>弟行三日遇雨。嶺路艱關之狀可念。</title>,<text>天末尋兄路。雨中別弟心。對床纔十日。回軫更千岑。獨鴈叫霜去。羇禽入夜吟。但敎征邁好。萬里等聯衾。</text>
<title>次金養正 基聖 贈韵</title>,<text>珍重淸詞背鴈飛。爲憐孤客未言歸。磵流囓足徵明戒。雲出無心悟昨非。信道一生須坦履。止民千里是邦畿。殘年最切同人想。霜月西州夜夜輝。此土。去京千二百里。箕都七百里。以古時邦畿之制言之。未爲絶域。</text>
<title>雪深數尺。伏次晦翁詠雪韻。</title>,<text>一色平章遠近山。方珪圓璧皓漫漫。王生好事移舟晩。袁子隨便擁褐寒。梅早誰飜新律呂。絮輕思着舊蒲團。中宵呵筆描閒景。自笑詩膓凍欲乾。</text>
<title>家弟必已抵頖。緣我罪伏。不敢入策士庭。果南轅否。更次雪中酬贈韻以遣意。</title>,<text>詩情閒共世情闌。破絮寒天晝掩關。是日羣英爭入彀。西風一馬獨還山。敢期自致雲橋上。只合同蟠樹屋間。客枕逢宵徵喜事。棣華韡韡故溪灣。</text>
<title>復用前韻</title>,<text>剝盡殘陽歲色闌。復雷何日啓玄關。隨時顯晦雲邊月。依舊崢嶸雪後山。且可安身三窟外。阿誰駐足萬蹄間。檀箕故國彈丸小。燕代悲風隔一灣。</text>
<title>夜雨燈下。簷聲琅然。有感。</title>,<text>一歲冬兼一日冬。靑燈閒對坐從容。乾坤渾若閉濛鴻。風雪阿誰起蟄龍。飛瀑懸簷珠歷落。寒聲入戶玉琤琮。箇中別有惺心事。不獨同安半夜鐘。</text>
<title>卽事。謹次朱詩雪意韻。</title>,<text>凍雨成霏野望平。瓊花飄拂曉牎明。歲寒心事增蕭灑。林外査査一鵲聲。霜鴈南天去路平。驛梅消息喜分明。懸知風雪經行處。回首杉篁葉上聲。邑人自京回。傳黃州路逢家弟。無事抵彼。 千古高風尙子平。閑從損益見精明。飄然蠟屐尋山去。肯作人間激慨聲。感尙子平事</text>
<title>夢遊楓嶽。覺來神氣頗蕭爽。</title>,<text>世緣輕處道機淸。萬二千峯雪月晶。無數招邀霞袂子。有時轇轕玉簫聲。巖留白鶴飛來色。山帶丹楓落後名。遊歷前春能見的。欲將眞夢較圖經。</text>
<title>緣掃雪多事。晡時始得朝飰。癡僕慍有語。吟此以寬意。</title>,<text>浩蕩川原鋪白氊。望中光景正澄鮮。井因曉汲先通路。厨失宵舂晩爇烟。事到衡心須動忍。饑能甘食是方便。試看積雪封扉處。多小同胞凍欲瘨。</text>
<title>雪月交輝。襟期爽豁。輒次淸風子千載絶塵埃之句。</title>,<text>白雪連天白。冰輪此際來。淸明何所似。寶鑑掃纖埃。</text>
<title>聞金令公 翰東 因臺章配明川</title>,<text>白簡霜臺氣凜然。一番加色更光鮮。誤人儘是麟經義。閱世好看龍繇篇。杞菊山畦那穩喫。芝蘭歲暮謾相憐。近聞北俗皆南語。日接先朝夙夜賢。</text>
<title>久病却食。館人辭不能烹。詩以答之。</title>,<text>風味山家淡似水。一生不願膏梁美。敢希前哲屢空樂。未解時人惡食恥。多事塵韁枉出脚。殘年肺氣仍成痞。元知絶粒方無累。且看高岡瘦鶴跱。</text>
<title>寒威終不解圍</title>,<text>病起淸朝騁遠眸。千家煙歇一牎幽。靑山戴雪渾成老。白日披雲乍破愁。鵲噪烏啼誰愛惡。牛維馬縶是行休。蒼官獨也凌寒立。未解人間直木憂。</text>
<title>聞雪中驢鳴</title>,<text>何來礧砢雪中驢。鳴向西風盡意攄。莫笑隆然空此技。賞音千古有橫渠。耳如批竹背如鰲。長繫邊山白雪高。病骨尙懷千里志。天機浮動一聲嘷。</text>
<title>有簪花鳴管而過者。乃江州新擢武第。</title>,<text>出身元是事君階。奈爾僻居天一涯。緩急邊城須效力。古來衛霍盡凡儕。</text>
<title>臈候漸近。想故園寒梅。謹次晦翁韻。</title>,<text>白雲深處溪南村。有誰引去湘纍魂。姑射仙子冰玉質。早蛻世間風埃昏。先春破臘有姱節。幽人去後守芳園。園裏衆芳凋落盡。夭桃睡棠隨寒溫。貞心先動地中雷。泠艶獨向霜外暾。羌管三弄聲猶澀。含情未吐倚柴門。邵翁不作林逋去。此間此意誰能言。想象已覺淸氣逼。不待對酌花間罇。</text>
<title>有瞽過門。要問數。答以無疑可卜。</title>,<text>百匝寒圍未解嚴。山窓靜揲潛龍籤。雷聲昨夜千門啓。晷影今朝一線添。貞了又元須自強。遯而无悶更何占。窮陰釀雪頗連日。只怕瓊霏高並簷。</text>
<title>聞笛</title>,<text>一聲羌笛起林端。響合前山翠黛攢。莫向梅花牎下弄。梅花立雪不勝寒。</text>
<title>邑俗冬月不澣濯。使家僮就鄰舍泡水洗手巾。</title>,<text>衣塵思洗是人情。久客隨緣少所營。豈必冬天無暖日。自來鄕俗㥘邊䬝。傖夫未學醫龜手。孺子何心咏濯纓。謾取一巾呼僕浣。瘦顔猶向鏡中淸。</text>
<title>大殿中宮殿順行疹疫。赦文到郡。</title>,<text>祖謨宗德與天通。勿藥神功兩殿同。萬億洪休基此日。歡聲雷動八綋中。九重溫詔四回頒。解使邸人賀夢環。良輔能持無赦戒。呼嵩禮訖一心閒。右答舘人語</text>
<title>賀正吏赴京便。付鄕書。要遞傳榮邑邸人。</title>,<text>一枝庾嶺梅。預作明年信。憑寄故園春。朔風吹不盡。</text>
<title>夜聞隣家織聲</title>,<text>札札寒窓響玉梭。滿城風雪一燈多。三聲最愛勤常服。雙手寧嫌凍屢呵。緝續工夫須惜寸。奔波歲月只爭俄。羈居少事耽閒睡。每覺持心愧此娥。</text>
<title>酬館人語。因次朱先生自警韻。</title>,<text>苦淡頗知外累輕。有時堪愧未忘情。莊吟虎尾春氷句。莫遣毫差誤一生。要言無欲便難輕。用拙還須約我情。直此已非光顯相。任敎人笑一迂生。</text>
<title>永夜爇油。衣衾如烟帳。咳唾成點漆。遂斥置外室。抖擻舊讀。却勝燈下繙閱。</title>,<text>永夜寒燈放燼繁。謾敎白室漲烟昏。漆藏無怪煤成突。墨行敢辭揮在門。且好收心幽坐地。却勝開卷短檠根。時時自喚惺翁道。箇裏須知屋漏存。</text>
<title>詠弊笥</title>,<text>有腹便便只自虗。剩將一笥貯殘書。終年鑽硏猶難遍。到處隨君愧蠧魚。</text>
<title>詠破丌</title>,<text>面似棊盤足似蜞。偶然拙斲謾成丌。論材自覺慙梧檟。任分無心受蠟梔。擲置龜泥還曳尾。拂來駑質肯揚眉。時人不識同夷險。見棄云悲遇謂奇。</text>
<title>客夢尙煩。思程先生夢寐卜所學之戒以自警。</title>,<text>安禪未斷自行心。每患天飛又陸沈。倘使晝宵俱有養。何緣魂夢亂無禁。閒工最怕言鸚似。獨寢須防意馬駸。只此便知人鬼路。丁寧佳訓可銘衾。</text>
<title>久斥短檠。記其遇夜之功。作紙籠罩其上。</title>,<text>闢墨誰知孟氏誠。叔游終不廢鬷明。方看好惡無私繫。罩却殘煙彩益晶。</text>
<title>館人屑小豆作飛陋。分小許爲澡潔之用。</title>,<text>朝朝洮頮垢常滿。新又新工怕間斷。莫道鷺皚非日浴。美瑜猶好刮磨看。</text>
<title>念故園梅事。用晦翁十梅韻。</title>,<text>溪翁去不返。孤根守漳濱。豈恨無知者。依舊一枝春。江梅北嶺與天齊。仍積前秋雪。玉容悄不語。驛使經歲絶。嶺梅野樹漏花經。風韻自淸絶。靈均豈蔽賢。但恐芳萎折。野梅誰把返魂香。炷向風雪裏。隔林一嫣然。玄冥應失喜。早梅多事林逋老。偏欺摽梅殘。含情待歸鶴。天風夜夜寒。寒梅化工秘冬花。巧作剪裁小。牧丹大何成。愛此淸未了。小梅水淸月正昏。幽興此不淺。窓外影扶踈。玉人來近遠。踈梅故人寄殘枝。枯槁含冰雪。竚立歲寒天。爲誰重攀折。枯梅羌笛弄無端。莫歎芳意寂。明時勤夢卜。待汝調鼎實。落梅興思故園梅。獨坐仍獨賦。尋芳不遠人。萬里春歸處。賦梅</text>
<title>咏冰燈 土人伐氷作圓柱。竅其中。灌油張燈。元宵立庭中。燈光淸瀅則吉云。</title>,<text>巧鑿冲冲三尺冰。滿城列植瑠璃燈。中秋月上移銀界。元曉梅開作廣陵。著得點塵還莫掩。照來神舍與同澄。此間未可頹然睡。趺坐終宵一氣凝。</text>
<title>買小爐置坐隅</title>,<text>冷堔三冬病欲臞。窮通都付化工爐。陶人解造刀圭用。換取箱中金十奴。踈慵平日任淸臞。暑不資扇寒不爐。客裏方知傳火妙。點茶無復喚童奴。</text>
<title>夜坐聞雞</title>,<text>夜色沈沈斗欲西。書窓無寐小燈低。狂踈謾抱憂時念。坐聽寒城第一雞。</text>
<title>謹用九曲汎舟韻。咏心經。</title>,<text>聖賢千言萬語傳。只要存心以事天。得養方保牛山美。擇蹈須看蟻封旋。勿齋當日勤蒐輯。曉牎對越薰罏烟。察精守一心慥慥。內直外方工專專。涵來本體水自止。擴去良端火始然。求中怕似觀心釋。祛念易入談空仙。洛閩言敬功最大。勿忘勿助常提鞭。有誰拖來葱嶺氣。珍重陶翁障奔川。天涯離索偏相契。永期佩服終林泉。說博反約元吾學。六經四子具斯篇。</text>
<title>曉枕聞鵑</title>,<text>曉天花月照衾淸。底事冤禽盡夜鳴。睡意頓輕塵慮曠。騷人錯道斷膓聲。</text>
<title>癸亥立春</title>,<text>安心無處不吾鄕。好法乾元用自強。五九添奇驚逝景。重三得半慶來陽。日從黃卷中尋樂。時向碧山上玩芳。只此餉那淸福厚。肯將邊鬣話災祥。</text>
<title>夜坐見月</title>,<text>桂魄緣何缺又盈。居然一十二回明。旅牎夜寂偏相訪。道是無情還有情。</text>
<title>病中。伏次晦庵酬黃子厚詠雪韻。</title>,<text>遠客感新年。遶榻獨彷徨。塞外小溫日。三時北風凉。又何回泰節。霰雪日飛揚。乍作廻風舞。旋逐亂鴉翔。川原浩一色。皦暾失晶光。經冬抱舊痾。遐徼無藥方。衰柳早驚秋。孤松謾傲霜。天道有陂平。回泬竟難量。脆質詎自堪。霏灑滿中堂。未賞陽春曲。空和白雪章。惟應積陰界。芝朮老高岡。</text>
<title>上元日。次朱詩春雪十韻叙感。</title>,<text>陔蘭悲昔夢。夭棘感風謠。明發懷難定。潛居膽欲銷。張燈回俗節。集霰遍山腰。可但臘三白。空殘春萬條。聽天誰卧洛。踏月定迷橋。樹亞啼鴉亂。汀寒宿鷺搖。衰顔非舊歲。別恨又元朝。已惜新梅落。那堪破絮飄。無家行藥飯。有淚濕鮫綃。遙憶鄕山下。情親樂事饒。</text>
<title>感晦菴酬范伯崇自警韻。伏次。</title>,<text>困學空嗟歲月新。居然濩落百年身。病根果在因循處。發藥何須問別人。狷失於剛懦失柔。中和交濟信優優。試看弘毅垂心訣。任重道悠敢自休。</text>
<title>土人爲圃。斫林木植庭。謂之瓜手。</title>,<text>種瓜庭下圃。伐木寒江滸。枯木不自榮。弱蔓無所縈。異根遂相依。夤緣似樛藟。豈必楊生華。終見杞包瓜。山人無肉相。滋芳聊自養。何事下帷客。不知窺園樂。</text>
<title>渭城曲二章。章九句。幷序</title>,<text>郡治舊在渭陽。未有城堞。盧節度啓禎知郡。始築城。躬版鍤董役。一日。役人意其不來也。相與謠曰。誰使我作墉。其鬚髼鬆。盧令答曰。髼鬆者來此。毋遑曰勞止。其服勤如此。每日給傭運水。時有女壯士。能兼四五人之力。別造汲盆。倍賞其傭。城門旣成。得三丈來大石。將架其上。積薪與城齊。排杠門口而挨上之。旣。盧令支其石。而女也拔其杠。邑人尙傳盧令之勇力云。曾從盧府使尙樞。見節度公行狀。歸自渭登筵。詢及築城事。對曰。只土墻耳。人遂以爲城。上嗟嘆曰。他人築墻猶謂城。爾乃築城而謂是墻乎。連加寵擢。至按節。外此偉蹟亦多。今聞土人言。尤信。遂演其語爲拙詩。維渭溶溶。天漢爲宗。鴨水來衝。衆心攸洶。誰使我作墉。其鬚髼鬆。其鬚髼鬆。先我民來攻。有女何從。亦兼衆武士傭。伐石于峯。壘口是縫。萬杵齊舂。曰予捍此邊烽。仡仡我公。王事之恭。鼔鼕鼕式無慵。右敍築城之蹟維渭瀰瀰。西土之紀。職職人士。田是宅是。瞻彼鴨水。介以蛇豕。我居圉何恃。寇至則圮。矧伊郊壘。維大夫恥。迺立斯雉。侯民之以。迨陰雨未至。牖戶是理。匪城伊峙。維土墻只。髼鬆者來此。毋遑曰勞止。右勞役士之勤</text>
<title>沍寒之餘得和煦。簷溜滴滴可愛。</title>,<text>靑皇故相饒。積雪漭無畔。今朝愛奇賞。滴滴簷溜亂。固知沍寒極。見晛當自冸。大柄豈久假。陽和如渙汗。自是運陂平。有誰功參贊。想應坏戶蟄。昭蘇齊向暖。</text>
<title>鄭筆工乘月來訪。沽酒以飮之。</title>,<text>春雪鎖一軒。獨坐朝復昏。時有谷口子。來扣月下門。欲問世間事。木訥不能言。無言還自好。對酌山中樽。飮罷輒告去。曠然塵慮諼。中宵依戶送。孤吠前村。</text>
<title>詠雪馬</title>,<text>卧龍創流馬。風雲生短靶。後人爽其制。孤犢用爲駕。雙杠巧軒輊。峻坂便上下。遇雪最有功。履冰曾不怕。幷騎似乘船。疾驅如發弝。引重利民用。輪人還失欛。</text>
<title>夢見瓢谷老兄兄弟</title>,<text>去年今日命華轅。摻手前溪兩不言。管鮑深情悲叔世。朱陳新好緬仙源。點犀罔以千山阻。園蝶依然一座溫。伯子更垂針頂戒。尋常參倚敢終諼。</text>
<title>人言秫錫利於治痰。招市人要煑黑餳。</title>,<text>客起淸宵每苦痰。良方誰說黑飴含。潤喉最利瓊生液。調胃須看土作甘。鍊竈成丹元象罔。喫猪能飽勝龍談。從今病骨應輕健。世外葷膏百不貪。</text>
<title>悼寢郞族祖 鎭祜</title>,<text>窈窕梧山曲。吾宗有偉人。家傳忠孝業。天放老成臣。應辟驚猿乍。尋初友鹿因。靜中圖史在。林壑足經綸。玦路由仙境。蕭然掃榻迎。丁寧舍達戒。繾綣解携情。先友公惟健。殊方夢忽驚。那堪問月鶴。新葺舊溪亭。</text>
<title>夢拜外王考及諸舅氏。明曉卽外王母忌辰也。</title>,<text>營魂能識道。金鶴山容好。杖屨若平生。室堂咸灑掃。諸舅列後前。老萊鬚共皓。藐余趨座隅。忘却遠客抱。閒共茶泉子。細論渭川藁。覺來涕自滂。喪餘在明早。</text>
<title>言出於心。告館人。</title>,<text>莠好元來自口生。古人明說是心聲。若識喉司從主令。尋常酬對定難輕。</text>
<title>奉天臺 郡北有一石峯。高可百許丈。峯上自作平臺。到此一歲。始知有是臺。</title>,<text>一莖金塔半空連。上作高臺喚奉天。多事露盤勞冶鑄。有時蠟屐愁攀緣。逈臨渭水東流壯。分鎭箕都北鑰堅。未識其名心賞久。莫將遲鈍笑癡仙。</text>
<title>用朱詩定王臺韻。復咏奉天臺。</title>,<text>一水縈迥處。羣巒化現來。鑿龍餘隻柱。游鳳有高臺。苔蘚千年古。煙霞萬里開。登臨無限好。寧作仲宣哀。</text>
<title>家僮病瘡。托朴姓人看護。</title>,<text>在家豈不病。爲客最堪憂。市絶韓康賣。床聞越舃謳。從吾勞旣久。送汝慮方休。賴有鄰翁厚。室暄許共留。</text>
<title>見雪中放駒</title>,<text>養駒春無草。閒放雪中道。雪中何所吃。脫羇還自好。寒蹄爬雪草。待汝取長道。不念養違方。每說他駒好。</text>
<title>夢見李際可 秉運，柳象元 尋春。</title>,<text>旅牎吟病一春深。舊日從遊謾攪心。柴里躬行眞畏友。湖齋聦穎又知音。逢時未覺規箴切。別久方知鄙吝侵。倘感天涯懷子意。慇懃千里夢相尋。</text>
<title>館人來質司馬法。病其簡古難通。</title>,<text>今人謾病古文奇。箇是天家九伐遺。周誥聱牙元一體。不妨辛苦見功遲。</text>
<title>倩人澣衣</title>,<text>脫袴春禽喚不休。前江冰冸漲新流。風輕會御雩壇服。水濁飜思孺子謳。收將客篋終年汚。洗向烟磯十里洲。獨有白鷗淸可愛。衆鱗何事逐浮漚。</text>
<title>咏閏月</title>,<text>當朞三百六旬零。巧曆須看一厭蓂。氣朔盈虗差漸積。暑寒推敓理難停。若非神聖裁成化。那識人時進退形。白屋謾懷艱食歎。今春添得卅回靑。</text>
<title>春日卽事</title>,<text>未覺春深淺。偏知曉睡酣。懸厓生雪水。老樹擁烟嵐。樂意枝間鳥。遐情路上驂。無言空隱几。萬象此中涵。</text>
<title>雨</title>,<text>爲憐羣蟄尙疑冰。一雨霏微數日仍。簷溜遞成高閣報。琅然淸夜使心澄。</text>
<title>因營吏私通。聞量移長淵。</title>,<text>經年渭北叟。來日海西賓。全活蒙天造。周流遍土濱。眼窮陽出入。身閱俗漓淳。何處金沙界。無勞更問津。來時看日出。去處看落照云。</text>
<title>贈別館人 幷序</title>,<text>渭有武士金逸坤。志忠孝。報本追遠之誠。多有人不及者。晝出射。夜歸讀兵家書曰。生長邊土。苟老且死于太平。大幸。萬一有緩急。當用是報國。性倜儻。不能隨俗俯仰。人無知者。亦不屑也。余居停於是周歲矣。待之如一日。此特其䟽節。千里孤寄中。能得氣味之孚。良爲不易事。臨別留一言。爲替面之資。宿宿君家歲一環。偏憐奇璞蘊窮山。臣忠子孝天彝秉。晝射宵書夙向嫺。自幸生逢文敎世。恥同乾沒武鄕班。邊城此別成千里。霜鴈南雲代面看。</text>
<title>贈別金啓鳳</title>,<text>傖夫百無能。斑窺惟文字。擯處浿江北。章甫越所棄。獨有乃家叔。時問孫吳事。童子亦渭人。泛若駒脫轡。今春有何思。請受曾史二。豈不竭兩端。進學須漸次。纔能卞趨向。未遽醒醉寐。遠客忽言旋。謂汝須勿喟。歸求有餘師。所貴先立志。人生會相逢。他辰刮目視。</text>
