<title>興庵卽事 庚申</title>,<text>頑雲收遠嶂。紅日度前川。寒山鳴夕磬。餘韻上靑天。</text>
<title>竹枝詞一闋。和贈宋致車 晉翼。</title>,<text>有客有客歌竹枝。竹枝之歌從古悲。黃陵廟下沅湘水。哀怨千秋斑竹枝。空零月夜孤臣恨。蜀江春水怨女思。別有幽愁人不識。爲君一唱竹枝詞。記昔名區種此竹。淸陰滿地栽培厚。淇園綠簀有斐人。渭川千畝公侯富。世事如花不可期。榮輝幾時蕭索久。饕風朔雪吹不盡。飄颻亂蓬東西走。請君試看枝上鳳。寧飢不欲下啄粟。練實凋零秋已晩。可憐祥翎謀口腹。鴟鶚不肯分餘瀝。敢將腐鼠時一嚇。西周世遠雩壇邈。何處乾坤覽德下。旅燈明滅獨無寐。苦竹聲聲有所懷。淸歌切切若可玩。新期晼晩流光頹。落葉歸根狐首邱。時致車旅食布川。 桑楡晩景邅吾道。黼黻皇猷已無望。箕裘世德寧不顧。悠悠此懷向誰吟。嘔啞衆鳥聲難諧。牆東亦有棲棲客。平生不試凌雲才。堅車躐險憂道遠。窮廬枯落悲時艱。貞心苦節保不渝。與子同期此歲寒。</text>
<title>黃君孟濟 雲河 訪我山居。次吾先祖文康公避世臺韻以眡余。寄意甚重。遂和而勉之。</title>,<text>鳥獸我欲羣。宣尼不避世。汞爐我欲煉。涼蟬未化蛻。大景方西頹。茫茫氣機戾。伊川髮已被。殆哉持句贅。哀彼牛山木。人心日以蔽。芳馨坐消歇。霜花萎古砌。鴻鴈自南來。良宵幸聯袂。願子馳堅車。關梁愼無憇。下達淵泉裏。上薄穹隆際。陰剝陽無盡。科盈水不滯。天下有道日。淮琴招山桂。</text>
<title>挽呂應天 昌會 三絶</title>,<text>浮生本無定。賦命各自異。如何我輩人。老作窮鄕士。今人尙虛文。道學卽傀儡。君能向裏求。知進不知怠。聞子疾將革。馳書慰病情。吾書君不見。凶聞遽先驚。</text>
<title>挽辛亨伯 泳祚 六絶</title>,<text>桓桓武君子。赫赫文承宣。東南澤國路。門衖何暄姸。金晜有玉弟。蓮桂如髭摘。富貴人所常。孝慈天應格。記昔少年時。逢君大洛湄。藹藹天眞色。休休長者儀。蕭寺嶄雲壁。南洋通五洲。與子乘舟去。平生此一遊。交遊三十年。淡泊心如水。人物渺然衰。南望有所倚。吁嗟厭濁世。一去莫余追。此別將千古。餘生獨賴誰。</text>
<title>秋夜無眠。偶成三絶。</title>,<text>秋夜漫漫苦不眠。憧憧萬念却紛然。此時舜蹠爭毫釐。只怕邪心闖一邊。記昔童時不勝眠。每違慈母戒蔘連。如今歲月閒消却。無復靑春更少年。人生百歲半其眠。百歲常爲五十年。終宵不寐如淸晝。却得人生百歲全。</text>
<title>挽敏窩李公 驥相 五絶</title>,<text>向北臣家大義存。隆陵禁牧又賢孫。宦情淡泊身先退。風雨汕天獨掩門。曒日樓中帝若臨。天人理氣細推尋。凝翁啓鑰洲翁闡。上述家庭默契心。束帶峨冠坐蹠危。觀書窮日不知疲。看他學力終如此。筋骨彊於少壯時。箚要彙輯紫陽書。眞積工夫十載餘。枉敎此身終相役。三回五復費分疏。愚魯受知逈出常。傾囷倒廩拜龐牀。臨亡眷眷猶相屬。賤子雖駑敢不蘉。</text>
<title>次李廷彥 相翼 光風臺韻</title>,<text>光風本在我靈臺。此地登臨眼忽開。若識當年吟弄意。許君親見二程來。</text>
<title>挽裵敬魯 相奎 二絶 甲辰</title>,<text>渺渺東牀記昔遊。轉頭三十九年秋。楚山今日前和出。白首懷君淚不收。寂寞全仁山下邨。藤翁遺鬯有賢孫。當年不食天應報。歸去新阡庇後昆。</text>
<title>挽李景輝</title>,<text>幽幽唫老鳳。槖槖騁天騏。泛博通千古。縱橫藐一時。文章應不朽。貧賤又奚悲。興國明招會。來生復與期。</text>
<title>挽后山許公 愈 四絶</title>,<text>氣機充巨陸。大景忽西沉。孶孶后山子。明理獨苦心。紫陽啓羣疑。千載如指掌。守此詭異聞。與天同遊往。懇懇牖羣蒙。抎抎任道學。南人昔始迷。濯濯公先覺。廊廟方招劒。雲鄕遽化箕。平生高景意。何處更相期。</text>
<title>和尹仁載 宅逵 寄示韻</title>,<text>巖雲溪月各殊容。物外形骸以類從。著書我愛羊家鶴。驚俗君應葉氏龍。黃花有約酬佳節。白日無情向下舂。躬逢亂世將安適。南國江山共一筇。</text>
<title>過冬盤龍寺。臨歸勉讀書諸生。</title>,<text>翩翩黃鵠。其飛溥天。我思良人。在彼雲巓。無爾怠荒。歲聿其遒。今辰不力。老大曷追。興也。○右總勉諸生。乃山之陽。君子攸芋。君子有子。躍如神駒。言縶其駒。驅之正軌。甘爾羈靮。無然橫潰。賦也。○右勉李性純 俒。莫栗非玉。莫剛非金。堅爾脊梁。勉爾誠心。率乃父祖。爾維糓似。噫嘻羅八。自古有刺。賦也。○右勉李子乾 基元。嵂彼方壺。鳥獸爲羣。門戶之責。不在爾身。小成匪成。盍大爾志。於皇我祖。範圍天地。賦也。○右勉張大哉 在鵬。南山有木。匪繩不直。北山有石。匪工不斲。朝益暮習。所受不忘。可畏匪勤。鈍滯何傷。興而比也。○右勉柳蘊卿 啓坤。陟彼高山。松柏遲遲。相彼作室。先築其基。不自欿然。心焉日勞。懋學修行。日躋崇高。比而賦也。○右勉陳夏卿 時敎。黃鵠六章。章八句。</text>
<title>贈張大哉 在鵬 五絶 乙巳</title>,<text>昔我彊壯時。膂力將徒虎。年光不相待。窮廬百憂悄。念子初發軔。欲往川無梁。西方有灧澦。北駕風裂裳。人心無定準。天飛又淵陷。所以同安夜。晦父深有感。矧爾庚桑志。方羊行且馳。越雞非伏鵠。拙法愧無施。時光那可玩。聰明亦不貧。有如吾不信。鑑我一陳人。</text>
<title>挽呂南叟 軫奎 三絶</title>,<text>南士何鶬鶬。未翁牖後人。世皆被介畫。子獨保天眞。無憂董釜塵。不恥由袍弊。鬱鬱天山中。看書聊卒歲。萬里腥羶漲。吾生日益孤。玉流春又返。猿鳥自相呼。</text>
<title>過魯峯</title>,<text>人家側掛亂山中。躡幽摩厓路不窮。泰嶽何年登魯叟。崋峰無處訪陳翁。宇宙蒼凉生落日。關河迢遰動秋風。杜門洞裏無消息。怊悵深林一閣空。</text>
<title>黃瀑</title>,<text>溪神掌蹠昔遙遙。萬古奔流似一朝。楚天不斷四時雨。吳壁長驅伍子潮。千忙不作安居計。一怒如將大地搖。憐渠自棄窮山裏。不向豐鄗貴客招。</text>
<title>郡城道中</title>,<text>老去向平了債臺。南方山水眼初開。鴈邊日落行人去。馬首山靑古郡來。靑春舊蹟渾如夢。白首相逢更擧杯。此人不共峨嵋客。嶺樹依依夢幾廻。</text>
<title>黃瀑歸路。用李白廬山瀑㳍詩分韻得看字。擬古。四首</title>,<text>萋萋隴頭草。幽幽谷中蘭。棲棲牆東客。鬱鬱無與歡。盛年劬書籍。遭時又屯艱。良人不可見。淸商發三歎。理我名山屐。徘徊以自寬。南方山水佳。樓閣何盤桓。有客欣相迎。嘻嘻靑眼看。燁燁神駒驤。英材滿座間。猩猩最相惜。願君且加餐。千尺黃溪水。日夜倒重巒。問渠緣底事。恁忙不自閒。且待盈科進。利澤施漫漫。世間沒勇人。請取此水觀。西風吹裊裊。遊子薄言還。嚴霜委百草。蟋蟀鳴空欄。義理無時透。歲月於焉闌。不愁關梁遠。但惜芳華殘。嗟我同心子。努力共歲寒。</text>
<title>挽張景厚 完相 二絶</title>,<text>赫赫新翁宅。肖孫眷峻谷。天山鬱嵯峨。朝暮耕且讀。杖策殊鄕路。問余羈旅苦。申申臨別語。此去遂千古。</text>
<title>次李啓道獄中除夜韻二絶 丙午</title>,<text>邨雞喔喔唱新年。板屋何人苦未眠。遙想金門蟊國輩。紅氍長夜樂陶然。吾人學道遇時艱。慚愧虛生一世間。知有殘陽消不盡。皓天佗日也應還。</text>
<title>挽金文允 聲應 三絶</title>,<text>淼淼象王川。幽幽脩竹岸。岸竹自靑靑。川流去不返。勤勤裕後業。懇懇與人忠。擧世好梔蠟。天衷孰若公。此面人皆有。此心獨貴知。後生無與遠。千古證吾詩。</text>
<title>朴津舟行</title>,<text>三宵寄宿雪山廬。一棹斜陽短髮疎。遠客江湖如過鴈。浮生天地盡磨驢。却看勝地難爲畫。每恨平生少讀書。誰將大鐵長江鎖。塞外蠻夷不敢漁。</text>
<title>合江亭。修契拈韻。</title>,<text>有閣翩翩接翠微。先天風景尙依俙。殘日西馳孤棹下。大江東去白雲飛。草木千山皆有彩。羹牆百世宛摳衣。晩學瞢瞢寧不勉。招招修契與同歸。</text>
<title>杭眉亭</title>,<text>金縷歌中白日流。行人來坐古杭州。睡起天晴楊柳雨。酒醒人似荻花秋。蘇仙故躅遺扁在。老佛恒精此日浮。風騷任與無腸客。蕭鼓年年管勝遊。</text>
<title>觀海亭</title>,<text>吾人迢遰各西東。紅豆江南歲色窮。翩翩老鶴遊雲外。燁燁神駒滿座中。俎豆無徵餘學舍。山河依舊變王風。安得大明周孔道。五洲歸向一胞同。</text>
<title>擬古三首。和河殷贊 述孝。</title>,<text>啞啞夜啼烏。何事在雲端。娟娟東家女。遊子在關山。河梁不可越。千山行路難。昔時明月姿。芳華坐消殘。不怨郞不返。但怨妾命艱。願郞心不改。來世共合歡。騎馬出東門。禾黍正靡靡。睠彼田間叟。煕煕老沒齒。有饁崇其盂。翁嫗坐相喜。不聞世道非。不知王室燬。我田有我黍。此身願無死。靑靑原上草。猗猗澗中英。秋風吹裊裊。大景忽西傾。佳月通宵朗。蟋蟀空堂鳴。撫我匣中琴。幽幽發商淸。知者復爲誰。嗟我念友生。友生窮不食。流落阻音形。佳期嗟已晼。雙鬢又無情。請君更努力。昊天及爾明。</text>
<title>河殷贊見訪</title>,<text>君來曁曁我懷多。歲月爭誰鬢髮斜。身無叨爵難忘闕。心欲乘桴不顧家。魚龍古窟天寒蟄。鳥雀平原秋熟奢。四海同商朝飮畜。肯將良玉向樓何。</text>
<title>贈少輩詩席</title>,<text>雲物凄凄滿眼前。舊時行樂杳如天。老鶴棲遑餘壯氣。羣龍遊戲在芳年。一心思處雲藏壑。萬理明時月滿川。西日怱怱行路遠。無將本業屬芭邊。</text>
<title>挽李貞必 相軫 三絶</title>,<text>北客棲不定。南來此同州。良人定不遠。衰暮喜相求。蕭蕭江上邨。三逕繞松竹。家裏貯經箱。心中守尺墨。亹亹別後書。遽作終天訣。秋夜獨無眠。蟲聲苦不絶。</text>
<title>見李啓道自日獄還共賦</title>,<text>小慧當年欲陟遐。如今潦倒未成家。却看蘇郞成鬢雪。更憐工部攢眉霞。煙塵滿地人皆夢。風雨連天日已斜。吾輩更期寒歲後。請君無恙且餐加。</text>
<title>挽尹忠汝 胄夏○丁未</title>,<text>豈弟其人篤實儀。斯文執耳衆同推。身嬰白刃應難屈。心對蒼穹獨不欺。千聖微言皆主理。一方儒拂可稽疑。平生道義深相許。衰暮那堪後死悲。</text>
<title>挽宋致車二絶</title>,<text>僞者䖃於誕。巧者傷於斲。公山有一士。坦然無表襮。世事云何吁。公歸獨不滓。平生道義心。怊悵送蒿里。</text>
<title>挽宋德懋 浚謨</title>,<text>赫赫倻翁宅。孶孶幹蠱兒。孝友一家本。誠勤百度推。鄕井深相仗。門寮賴以持。最是東門淚。茫茫理莫知。</text>
<title>次菊潭周公戊申倡義韻</title>,<text>王府當年帶礪盟。黃花潭水至今鳴。有生天地誰無義。緬憶前人視死輕。</text>
<title>又次何換亭板上韻</title>,<text>澤國遊觀已隔年。夢魂長繞古亭前。碧沼魚聽辛檻木。靑峰石漬晦庵煙。登樓進酒風生袂。對景吟詩山聳肩。雲物不殊人未返。至今如吼匣中蓮。</text>
<title>次沈泰源 相吉 寄示冬至吟</title>,<text>聖人歎水逝。愚叟欲山移。壯志已消歇。空悲歲暮時。復䨓何處動。泰道吾猶希。幸有同心子。詩中見伏羲。</text>
<title>挽黃宗汝 漢壽 二絶</title>,<text>金玉君晜季。看來託契深。懇懇論文席。孶孶好禮心。孝友兼忠信。桃翁有典型。仁人嗟不壽。天道最無情。</text>
<title>訪呂命九 泰鎭</title>,<text>回首扶桑日正昏。袁生無處淚收痕。一年唫病山中月。落日逢人江上邨。六朝花鳥渾如夢。四海風塵獨掩門。此地偏多亡友感。瑤華采采欲招魂。</text>
<title>挽金聖涵 瀅東 五絶</title>,<text>石門山下水東流。怊悵行人憶舊遊。杳杳靑春渾似夢。此生無處更相求。梅山春草碧如茵。亂代棲遲共結隣。漁釣前溪同晦迹。一竿華髮出風塵。三千三百禮文繁。聚訟家家各立門。參考多年知見博。斂然曾不質身言。含杯聯袂動相隨。坦蕩其心樂易儀。我有詩文君有眼。得君論雹許君知。䪥歌忽動九山陽。底事人間此去忙。從此出門無所適。滿天斜日獨徊徨。</text>
<title>挽金致受 鎭祜 二絶</title>,<text>去年哭膠友。今日又哭公。此哭爲誰哭。斯文日益窮。雅望推儒拂。高標遯世蹤。人亡心法在。留與牖來蒙。</text>
<title>挽宋子敬 鎬彥 二絶</title>,<text>三山秀色赴嘉州。上有祥雲一朶浮。不向人間霖雨作。還從靜裏驀然收。斯文天喪哲人萎。顔短踦殤自古悲。歎息如今何世界。君家兄弟得全歸。</text>
<title>挽李致文 能爀 二絶</title>,<text>文元家裏有賢孫。山水爲隣早著跟。老大風流如少日。東南冠蓋湊高門。人間無處可逃形。法服全歸死亦榮。最恨重陽雞黍約。月城佗日有誰迎。</text>
<title>次李聖汝 冕煕 回甲韻</title>,<text>與子分氈歲月長。音容猶似昔韶光。塤篪翕翕聯衾枕。鸞鵠亭亭繞室堂。山月重圓如舊餠。園潭剩借進華觴。君家孝子吾嘗友。侑此詩歌頌壽康。</text>
<title>挽金泰瞻 魯東 四絶 己酉</title>,<text>洛水流不盡。尼山際天碧。我淚江淺深。我懷山如積。我飽公如飽。我飢公若飢。彼哉交淺者。一飽忘飢時。茫茫山海路。動處輒相隨。卜築梅山下。玆焉歲暮期。去年哭聖涵。今年又哭公。知應歡地下。誰復鎭家中。</text>
<title>挽安羲謙 益濟 三絶</title>,<text>舜仲昌言朝野震。羲謙文墨流曹逃。蒼蒼雪嶽安家裏。南國行人不寂寥。朝廷一命貧無救。人世六旬壽不稱。獨有雲溪漁釣處。淸流如見素心澄。南洋禮席黃溪軸。回首人間迹已陳。域內名山看不盡。白頭怊悵更誰隣。</text>
<title>挽遊軒張文憲公 錫龍 三絶</title>,<text>於皇吾祖德。肧毓始公生。祗奉天王詔。卿家復見卿。達尊誰不仰。大嶺鎭頹波。福澤流無盡。庭前富貴花。邦國嗟無祿。鹵車去不回。遺文牛且汗。謬託愧菲才。</text>
<title>挽鄭誠進 夏默 三絶 庚戌</title>,<text>文華燁燁辯論明。識博才高莫與京。梁楚聲名傾耳久。葭莩欣託晩年情。鬢玉煌煌篆二鄕。朝家應是得臣良。高人解脫田園色。指點靑雲去路忙。悠悠一別歲華遙。帝遣巫陽此遽招。最是蒼凉身後事。不堪回首郭東寮。</text>
<title>次沈應章 鶴煥 樂山亭十詠</title>,<text>天晴此夜偏多月。此月初非分外發。憶曾窣窣無月夜。此月猶在未嘗沒。右梧桐霽月。昨夜掀房吹大風。光風今日驗天功。御風列子知何狀。幻却眞元總落空。右楊柳光風。我愛非松諭爾松。康侯特立耐寒冬。春花富貴誰無念。一夜嚴霜悴悴容。右雪磵孤松。肉食諸人無此竹。春風桃李崔嵬屋。此竹取汗書千古。亂臣賊子誰不肅。右霜園晩竹。歎息人生生落照。三千大地倒蒼峭。盛年未遂平生志。坐此殘陽謾一笑。右雉洞返照。誰敎手抉嶺上雲。濟此衰世天章分。莫向長安蔽白日。山人猶自戀吾君。右鷹峰歸雲。巖花如笑鳥如歌。千古興亡爛一柯。窈亮一聲吹不盡。世間淸福此間多。右雲峀樵歌。神州回首聽胡篴。聖主薰歌千載寂。牧兒爾向南漳路。何處王孫隱者覓。右霧峰牧篴。百囀幽幽林下鳥。有時奮迅入冥杳。休將繒繳近吾身。色擧不曾謀利小。右茂林啼鳥。天有飛鳶淵有魚。一般生意各安居。淵魚活動君知否。請看牀頭述聖書。右方塘游魚。</text>
<title>聞亡國報述懷</title>,<text>江州歸客久虛徐。獨上新亭淚滿裾。將此微軀何處去。永陽千載有先廬。先祖文康公當丙子下城後。以蹈海之義。入永川立巖。</text>
<title>自江陽移寓巖浦。沈應章，周敬一 永直 爲詩來餞。和韻以寄。</title>,<text>亂代棲棲去此鄕。良人迢遰我懷長。欲將一語勤相勉。萬實知爲海上方。右酬應章。歲月參差如過隙。請君遮莫負韶光。柏舟誓死誠堪勉。只怕吾心外誘亡。來詩以柏舟詩矢死。言其自守之意。○右酬敬一。</text>
<title>挽秋岡金公 興魯 三絶</title>,<text>我愛秋岡老。固窮八十年。孶孶爲己問。懇懇推人贒。冷屋殘螢度。寒天病鶴飢。飢寒心不上。手裏卷常持。我自江州返。嗟公遽岱遊。平生知己感。那忍向西州。</text>
<title>次秋山耆眞會韻</title>,<text>遠上秋山共采眞。斷金俱是意中人。羣英洛社年皆卲。勝宴蘭亭歲又春。古洞煙霞堪與隱。昏衢日月也應新。桑楡不負平生志。講道論文此會頻。</text>
<title>南坡金公殉節歌 幷小序</title>,<text>按麗史禑朝。南坡金公光輔知合浦。與倭戰于三嘉栗林坪。力屈遂死之。李陶隱以嗚呼歌一闋贊揚之。今其後孫方紀績于碑。而更求當世知言之筆。以廣其事。遂作此以歸之。合浦江上秋風起。大京城外月如霜。忠魂義魄尙不死。風馬尻輪來翺翔。在昔麗王運不競。封豕出爪島夷狂。將軍奮義擊劒起。疾雷虩虩師洸洸。茫茫南紀倚長城。大垐酋骨高如岡。懸車深入斥堠絶。千丈坡下馬忽僵。將士㺦猭鳥獸散。雕題澀譶如蜩螗。孤臣有國無其身。一腔熱血通穹蒼。叱爾蠻兒如叱狗。口不絶罵身被創。遂使肝腦塗塞草。英眦毅胳何堂堂。鴻毛一死義爲重。辦得熊魚早自蘉。魯無君子斯焉取。圃牧諸賢在巖廊。道義講劘交相勖。滔滔季曆扶綱常。聖朝受命崇大義。閭巷一節靡不彰。興安舊績尙泯沒。山哀水咽古戰場。請君試看今天下。四海淪爲卉酪鄕。廟筭無良綴旒惴。鳥蹄獸跡恣被倡。人人殉國有如公。何患華夷不尊攘。古來有誰作九原。志士仁人空悲傷。臨風一讀嗚呼歌。陶翁大筆千古揚。</text>
<title>挽金舜瑞 鳳鎬</title>,<text>衆萬皆修餙。三吾獨守吾。鄕隣推古老。宗族信良謨。半世將聊賴。一朝遽嘯呼。有兒曾志學。餘慶理應孚。</text>
<title>次李建七 斗埈 栗里幽居韻</title>,<text>幽幽山有栗。寥寥門對陌。閒人無箇事。魚魚我自樂。山河騰氣機。狂風盪一夕。世事滄桑變。歲月馳駒隙。臥看迷藏戲。時人空役役。君看松柏志。歲寒方成績。愛此陶令里。千載尙友益。</text>
<title>挽張進汝 基奭 五絶 辛亥</title>,<text>先王陟降在雲霄。俯視人間憤淚漂。萬蠢夢夢渾不省。眼前朝芧共嘵嘵。會稽唐磚恨無功。千載吾鄕紫下公。假使人人牖下死。不知誰復盡君忠。思叔讀書非爵榮。董生慈孝驗祥生。行年四十頭顱定。鐵漢庚庚孰與京。向我深推一日長。金鍼愧乏度䲶鴦。吾儕幸有斯文託。豈特殘年得輔彊。茫茫下界忽沉淪。帝遣巫陽招義魂。一節雖非君素志。世間猶可起慵昏。</text>
<title>次朴氏雲巖書堂韻</title>,<text>俎豆何年此有堂。煕寧茂草更韶光。君家世世應無忝。錦水傳來海上方。</text>
<title>挽文明瑞 圭漢 四絶</title>,<text>傀儡人皆表襮糚。直情公是木剛腸。嶧陽家裏風猷古。藉藉高談鎭一鄕。梅陽十載我棲遲。牟𡇼相望與子期。慚愧此身何所取。公曾折輩一心推。江州春草碧連天。鴻鴈南來憶去年。樽酒良朋依舊在。座間如見白頎然。八十翁前九歲兒。慈天涵育不知威。老烏忍棄孤雛去。更向誰人託子師。</text>
<title>挽張舜矩 柄志 二絶</title>,<text>早鼓星田篋。終傳甪里氈。猩猩解相惜。同此歲寒天。離離原上樹。零落最無情。請看世間事。生哀死且榮。</text>
<title>次李氏學稼亭重建韻</title>,<text>德嶽崔崔郡郭東。李家亭子翠微中。先生有道興儒拂。後裔殫誠述祖功。千載猶傳寒水月。一堂如坐舊春風。人亡世遠吾生晩。獨倚虛欄恨未窮。</text>
<title>次兢齋從兄 敎燦 旌孝時韻</title>,<text>山南刺史颭晨旌。采采民彝報聖明。百行推移源是孝。一家和樂盡吾誠。斬藤自有神人應。種豆誰欺順逆生。不肖此身觀感久。佛門調達愧無成。</text>
<title>甲朝述懷 十月二十四日</title>,<text>此身何事業。生到始生年。宗祊非舊日。父母泣終天。壽爵止兒擧。遊筇取我便。江州此夜永。兄弟共相憐。念父母不在。宗國淪亡。不欲受子孫稱爵。往秋山。與伯兄偕至江陽。過是日於河友執卿之家。</text>
<title>挽李聖武 承喆</title>,<text>韶華如昨壬申春。十載龍山共一隣。翰墨追隨金斷契。風流儒雅玉如人。關河異域詩名壯。官閣殘年祿仕貧。後死那堪亡國淚。嗟君猶作大韓民。</text>
<title>次辛氏仁山齋韻</title>,<text>仁山春草碧年年。薪火辛家此地傳。十世箕弓餘畏壘。一區花石在平泉。烝嘗不廢追先孝。飮射將看獻士賢。歎息今人多幻脫。勉君無墜舊來氈。</text>
<title>次南村宋公衛聖韻</title>,<text>危城出出隻身孤。不報宣尼肯服儒。壬辰島訌。火及知禮聖廟。公突入火中。負五聖位版。權奉於淨處。自奉祭享。及亂定。還奉校宮。 茅屋三間徵舊禮。藝林千載起吾徒。秦炎不及笙簧壁。漢制重新錦瑟區。蹄跡縱橫庠序廢。今人寧復有夫夫。</text>
<title>漢陽懷古三絶 壬子</title>,<text>萬戶千門耳目新。滿城非復舊時人。勳章侯伯車中客。盡是吾王寵遇臣。總督旌旗耀日高。長安士女赴如潮。可憐德壽宮前路。只有寒鴉朝暮朝。羽介鱗毛萬族蟲。形形羣處古王宮。嗟嗟微物寧無念。爾亦先王化育中。</text>
<title>漢社旅燈。次寄李聚五 奎煕 回甲韻。</title>,<text>華觴崇得腹便便。爲待佳期許不愆。旅鴈何心飛北地。故人相憶隔南天。劬勞是日誰無感。仁孝其家爾介年。漢社殘燈遙送祝。蚿風爲我也相憐。</text>
<title>松京二絶</title>,<text>緬仰圃爺宇宙梁。獨留遺像在崧陽。竹橋千載淋淋血。不與吾東共滅亡。我祖忠貞尙有邨。寥寥百世過孱孫。三韓片土今無地。何處靑山可杜門。</text>
<title>鴨綠江三絶</title>,<text>天限長江畫一區。鯷邦已歷四千秋。陽侯不識人間事。日夜滔滔去未休。行人東望大江湄。聖朝當年駐六師。寂寞王春餘古島。新蒲細柳泣遺黎。記昔崇禎字一家。幾人到此賦皇華。萬疊西天雲霧裏。泠泠布褐我將過。</text>
<title>安東縣。逢故國人盧致三 相益，致八 相稷，孟士幹 輔淳，李大衡 斗勳 共賦。</title>,<text>腐儒衰暮學天遊。遼薊茫茫眼欲流。有地君逃薙白髮。讀書誰敎濟靑邱。百年父老思王室。萬里風煙接帝州。最是玉笥峰上客。天涯淪落古今愁。</text>
<title>見間島流民有感</title>,<text>西方有一島。俗呼爲西間。久爲佗人有。吾疆久不還。山深土地肥。云是別有天。誰敎不祥訛。人心湊如川。此地可避兵。此地可保家。一傳又再傳。千傳又萬播。在車車不容。在途肩相磨。大方傾其里。小方空其方。提攜二千里。渡江聯負襁。資粮已告乏。丁男不充腹。北風吹寒雪。老弱如猿哭。屈指計前程。尙有千里賖。官軍戰敗績。梁山竊發多。更欲還故國。田宅已盡賣。又欲前進去。舟車無錢買。皇天生我民。困厄胡此極。先王不血食。民命宜共國。于時我北征。滿目思忉忉。作此西間歌。告我諸同胞。</text>
<title>遼東五絶</title>,<text>生長偏邦六十年。區區身世付殘篇。如今始覺乾坤大。四顧茫茫只有天。故國蒼茫隔海巒。天涯回首涕汍汍。山如白帽峨峨立。擧手招招管幼安。瀋陽佳麗冠遼東。帝業興隆肇此中。後辟無知天命去。可憐今日閉深宮。東來鶴駕久西遊。天地難忘丙子羞。緬憶當年三學士。精靈如在暮雲頭。胷懷曠漠九愁飛。我欲攜家此地移。待得河淸天定後。子孫猶見漢官儀。</text>
<title>長春車中。和贈山東文士張羽臣 鵬𪂶 二絶。</title>,<text>男兒立志體天強。何必區區戀故鄕。萬里行人聲氣感。淸詩一讀一悲傷。星槎門閥耀中華。翰墨看來亦大家。三韓遠客逢花樹。上有仁鳩視不差。</text>
<title>宿管城</title>,<text>浿江朝渡長春夕。萬里中州一日馳。雲中樓閣連天起。塞上風煙撲地迷。三國車輪爭上下。百年邊戍壯威儀。明朝又向荒沙去。此地還如故國離。</text>
<title>俄國江東地。逢金君子中 正默 寄贈。</title>,<text>全球無計混書車。今古興亡柰爾何。江東落日韓人聚。嶺上愁雲宋帝過。江東有宋皇嶺。卽徽欽所過之地。 我似袁安空灑涕。君從方叔久浮河。羽重金輕隨處異。休將聖訓却求多。</text>
<title>上新峙。待李啓道不至。次其去年重九韻遣憫。</title>,<text>湖山春氣冷於秋。此夜懷君白盡頭。杳杳行雲隨處住。滔滔逝水競誰流。大義無私妻子棄。窮途有意友朋求。遠憶三韓風雨夕。幾人歡樂幾人愁。</text>
<title>又吟一絶</title>,<text>風雨蕭蕭夜未央。天涯愁思正茫茫。枕上翩𦒘春夢裏。不知身在北胡方。</text>
<title>餞春日。登上新峙前山。獨坐述懷。</title>,<text>良辰無伴獨登臨。又是春光感客心。荒沙萬里家鄕遠。芳草千山歲月深。落日迷茫人欲老。殘花的歷鳥相吟。思量萬事無佳計。行與韶華故國尋。</text>
<title>留江東四朔而還。還家日謾吟三絶。</title>,<text>黑龍東北狄人居。王儉山河萬里餘。願得明王尋舊域。和渠共讀孔周書。歸來杳杳憶黃沙。滿目關山道路多。晨月依俙囱欲曙。却疑身在北胡家。靈均返楚欲奚爲。遼野幼安可與期。將此苦心誘後輩。誓令吾道不全迷。</text>
<title>再書中華政府。感吟。</title>,<text>直北歸來路八千。再將懷抱寄幽燕。非敢妄言當世事。只爲扶得聖門傳。天涯渺渺相思鴈。庭畔凄凄未蛻蟬。袁家老子如相信。晩入中州借一廛。</text>
<title>是歲夏。與伯兄及李公玉 達煕，李學魯 萬暢 聯搭一圖。名曰星山四皓。分韻得皓字。</title>,<text>吾人生幷世。荏苒今皆皓。靑春難再期。長夜無時曉。蚷蟩自相憐。殘年共對討。後屬寧無蘉。此圖可鏡考。</text>
<title>次甘氏龍山齋韻</title>,<text>緬仰先楸此肯堂。天慳勝地百年藏。慈孫有道箕裘繼。名祖垂勳帶礪長。詩書滿架羣英聚。龍象盈庭大力香。山河擧目今何世。將此三全老一方。</text>
<title>挽沈義瑞 相岳</title>,<text>鬱鬱靑松宅。粲粲白華披。世世課忠孝。鄕井耀高楣。謂子赳赳武。看來有古儀。煌煌鬢上玉。坐鎭一家宜。江州我漂泊。衰暮與君知。名樓一尊酒。無處不相隨。自我狐邱返。晨星忽參差。怊悵江湖夜。思君政難爲。虞淵殘日馳。人生且幾時。嗟君不相待。招搖遽乘箕。大良風流席。牛耳更誰推。短章言不盡。無復與子期。</text>
<title>挽李公玉</title>,<text>靑靑園裏葵。春色似去年。娟娟浦上月。天心夜夜懸。嗟嗟李司馬。此行何日旋。其人如不見。請看溫其玉。其家如不見。且看根深木。凝爺正家訓。敏翁晩劬經。勉勉思無忝。名家有典型。田園寧不樂。靑衫老碧嶂。靑春我與知。殘年喜無恙。謂與餘生共。嗟君遽先背。明年上元會。遺像那能對。先公臨沒託。遺文不繡棗。門寮誰與鎭。古家無耆老。雲齋風雪夜。㷀㷀獨無寐。尻輪如可親。說與無窮意。佳城忽入望。爲君歌斥苦。嗚呼李司馬。此別將千古。</text>
