<title>秋夜雨中</title>,<text>秋風惟苦吟。擧世少知音。囱外三更雨。燈前萬古心。</text>
<title>邦先生餞至野外以詩贈別 二首</title>,<text>野愁𪚥引去。江恨雁拖來。欲別末能別。一盃仍一盃。</text>
<title>邦先生餞至野外以詩贈別 二首 其二</title>,<text>橘香千里地。不遠訪君來。別酒邦辭醉。兩三𪚥皺盃。</text>
<title>次韻。答安翰林裕贈別。</title>,<text>萬山邀我去。五字被君呈。且感西峯意。將投北岳銘。</text>
<title>次韻崔官長嚳垂訪見贈</title>,<text>毀譽啁蟬聒。功名墮甑同。丹心猶拱北。玉鱠未尋東。</text>
<title>次韻崔官長嚳垂訪見贈 其二</title>,<text>院靜塵緣絶。花飛雪勢同。有風吹好事。聚散小窓東。</text>
<title>登蛾眉山</title>,<text>蒼雲浮地面。白日轉山腰。萬像歸無極。長空自寂寥。</text>
<title>冷泉亭</title>,<text>爲愛溪邊石。扶筇小立時。微波含落照。影動掛猿枝。</text>
<title>金剛山二絶 普德窟</title>,<text>陰風生巖曲。溪水深更綠。倚杖望層巓。飛簷駕雲木。</text>
<title>金剛山二絶 摩訶演菴</title>,<text>山中日亭午。草露濕芒屨。古寺無居僧。白雲滿庭戶。</text>
<title>招崔壽翁</title>,<text>琴書一茅屋。高臥樂幽獨。故人來不來。東隣酒新熟。</text>
<title>簡李員外</title>,<text>吾生如寄耳。方寸只君知。歲晚深期在。東歸定幾時。</text>
<title>村中時事韻 其二</title>,<text>無義生猶死。有心榮亦枯。忍看邦本瘁。鞭背無完膚。</text>
<title>村中時事韻 其三</title>,<text>志士慕高舜。難忘畎畝中。負暄琴在膝。可以和南風。</text>
<title>次韻南尙書 三絶</title>,<text>次聲井上桐。弄色園中菊。怊悵阻佳期。秋來幾回憶。</text>
<title>次韻南尙書 三絶 其二</title>,<text>雁風吹塞雲。虹雨暗叢菊。永夕發長謠。知音常苦憶。</text>
<title>次韻南尙書 三絶 其三</title>,<text>不採商山芝。獨尋甘谷菊。以此制頹齡。蓬萊何更憶。</text>
<title>示鄭夢周</title>,<text>吾門鄭大學。如今有賢嗣。況與愚孫游。胡不示猶子。</text>
<title>贈鄭大守</title>,<text>割鷄用牛刀。夫子戲言耳。不見陳丞相。里中分肉始。</text>
<title>贈河斯澄</title>,<text>門下河斯澄。心淸塵不疑。吾聞有花朶。須折來飛騰。</text>
<title>陪益齋過興王海峯都僧統方丈。敬賡高韻。</title>,<text>主人心鄭重。不醉可能歸。桃李花如海。行年近者稀。</text>
<title>寄兪尙書 思廉與公同時翰林。</title>,<text>諸生願橫經。不遠半千里。旣得敎英材。知君聳肩喜。</text>
<title>戊辰年正旦迎祥詩 翰林時作。</title>,<text>臘盡銅壺箭。春回玉斗杓。祥煙凝殿閣。瑞日上雲霄。</text>
<title>春帖子</title>,<text>自家何事業。佳氣擁門閭。窓日朝慵起。臥閒兒讀書。</text>
<title>伏蒙宗伯益齋公錄示近所爲詩數篇。其折輩行。誘掖後進之意。深且切矣。雖以庸愚。寧不知感。然自惟拙澁必不能攀和。因循至今。惶悚間。公恕其逋慢之罪。再以小樂府二章示之。愈感愈悚。謹和成若干首。薰沐繕寫。拜呈左右。 金二相靑嵒莊詩 仁衍</title>,<text>舊隱壓滄海。仙游凌紫煙。至今江左望。唯待勒燕然。</text>
<title>伏蒙宗伯益齋公錄示近所爲詩數篇。其折輩行。誘掖後進之意。深且切矣。雖以庸愚。寧不知感。然自惟拙澁必不能攀和。因循至今。惶悚間。公恕其逋慢之罪。再以小樂府二章示之。愈感愈悚。謹和成若干首。薰沐繕寫。拜呈左右。 金二相靑嵒莊詩 仁衍 其二</title>,<text>出城百里地。傍海一層樓。賢相今何處。飄然笙鶴游。</text>
<title>詠芍藥次崔林韻</title>,<text>常恨酒杯淺。幾嫌簾幙重。醉夫眞可咲。老眼尙貪紅。</text>
<title>重送</title>,<text>不覺巾車近。唯聞鼓瑟稀。所思杳千里。心逐雁南飛。</text>
<title>病中承招。謝揭理問。</title>,<text>恠底開筵日。適予移病時。儘敎防飮酒。唯恨阻論詩。</text>
<title>揭以忠見和。又作四絶。</title>,<text>江山雖故國。禮樂異前時。爲報宦遊客。休編己卯詩。</text>
<title>揭以忠見和。又作四絶。 其二</title>,<text>東省何多事。我來當此時。畏愁頻置酒。避謗尙吟詩。</text>
<title>揭以忠見和。又作四絶。 其三</title>,<text>世事如雲雨。人情見歲時。相逢雖衮衮。愁絶不成詩。</text>
<title>揭以忠見和。又作四絶。 其四</title>,<text>閉戶讀書處。對山持酒時。客來休說事。共賦賞春詩。</text>
<title>代書答仲始司藝</title>,<text>禍福常相對。恩讎要兩忘。南村讀書處。便是一羲黃。</text>
<title>復寄仲始司藝</title>,<text>身爲藏珠剖。妻因徙室忘。處心如淡泊。遇事豈蒼黃。</text>
<title>答李正郞</title>,<text>刃多生肘下。敵或在舟中。世態門羅雀。心期弋慕鴻。</text>
<title>次韻答崔深父</title>,<text>邦基多臲卼。人事亦參差。且喜如松茂。曾憂賦黍離。</text>
<title>寄安康李先生</title>,<text>有命那禁老。無求自得高。山林百歲樂。軒冕一生勞。</text>
<title>寄李杏村</title>,<text>烏頭容可白。俗眼豈終靑。遙羡明窓下。焚香寫佛經。</text>
<title>次韻寄金同年天祚</title>,<text>已决歸休計。秋風馬足輕。於君十年弟。已嘆二毛生。</text>
<title>次韻寄金同年天祚 其二</title>,<text>舊隱溪山好。歸來萬事輕。釣筒幷酒榼。相對送餘生。</text>
<title>題鹿窖</title>,<text>擬尋藏窖鹿。恐類守株人。郵吏應相恠。憑欄一笑新。</text>
<title>題神山背面圖</title>,<text>人心如其面。此言傳自古。見面不見心。不如不廻顧。</text>
<title>寄贈黃曆友人</title>,<text>倐爾十年別。飄然萬里行。聊將新曆日。遠寄故人情。</text>
<title>寄賀敬先代言</title>,<text>內相榮無比。高堂喜莫涯 。山村人事絶。應恠賀書遅。</text>
<title>寄安康李先生 其四</title>,<text>官大貧如舊。身忙老已侵。何時對山坐。欵欵細論心。</text>
<title>寄大安寺中之僧統</title>,<text>宦路幾千里。交情三十秋。相逢知不遠。俱在海南頭。</text>
<title>訪尹同年不遇</title>,<text>對山不浪出。採藥偶忘還。甚欲題凡鳥。草堂猶未關。</text>
<title>送僧達竹遊燕都將之江南</title>,<text>弧失四方志。肯守一龕燈。遊意正浩蕩。從之我不能。</text>
<title>瀋陽旅舍。寄藝文諸公。</title>,<text>佳節途中過。淸歡夢裏頻。遙知對尊酒。應說遠遊人。</text>
<title>瀋陽旅舍。寄藝文諸公。 其二</title>,<text>造物巧相戲。圖前却步頻。始爲題柱客。終作負羈人。</text>
<title>代白錄事元昈送孫承奉還松京</title>,<text>不覺年華盡。空驚日曆頻。那堪異鄕路。更送故鄕人。</text>
<title>代白錄事元昈送孫承奉還松京 其二</title>,<text>酒盡歌聲苦。臨分握手頻。何時風雨夜。相對兩閑人。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。</title>,<text>村舍絶低小。廚煙還繚繞。據牀不得眠。坐待東方曉。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其二</title>,<text>黑雲起南山。東風吹作兩。著物不聞聲。曉窓還媚嫵。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其三</title>,<text>雨中春睡罷。起坐還多感。殘雲無思極。低傍南窓暗。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其四</title>,<text>遇景眞似畫。得詩淸絶塵。喜來發大笑。驚倒四隣人。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其五</title>,<text>里巷樂新年。壺觴會甥姪。誰念倦游人。天涯經此日。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其六</title>,<text>雨後百物變。客愁隨眼新。宦游有何樂。歸期當及春。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其七</title>,<text>苟合旣非意。欲行先自愁。今宵得佳夢。我馬且徐驅。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其八</title>,<text>出處士所重。久速非苟然。同寮莫怪我。無補苦留連。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其九</title>,<text>談笑非人間。風流是天上。春來頻入夢。夢罷還惆悵。</text>
<title>戊寅正月六日。次鐵州。寓城南野人家。微雨霏霏。連日不止。因記東坡曉雨暗人日。春愁連上元之句。分韻爲詩。寄族叔金史官㺶。兼呈同館諸公。 其十</title>,<text>潔身亦細事。大義不可諼。勿謂一命士。未足慰黎元。</text>
<title>江口</title>,<text>移舟逢急雨。倚棹望歸雲。海闊疑無地。山明喜有村。</text>
<title>夢</title>,<text>世事若春夢。浮生如電光。夢中苦說夢。一笑烘中堂。</text>
<title>贈遺諸篇 讀淡庵白先生斥佛疏 縣監朴愚</title>,<text>憶昔聘曾祖。斥邪獨名家。誰知去莠力。能培五穀嘉。</text>
<title>示三子</title>,<text>遺子滿籯金。不如敎一經。此言雖淡薄。爲爾告丁寧。</text>
<title>上宗工鄭相國</title>,<text>種菊南墻下。開花十月初。鉤簾可怡悅。難致貴人車。</text>
<title>病中書懷</title>,<text>老去貧兼病。憂來悲且歌。秋風又蕭瑟。世事易蹉跎。</text>
<title>在廣州。次同年崔史官韻。</title>,<text>輦下車塵鬧。關東蓴菜多。憐君爲斗粟。西日帽簷斜。</text>
<title>謝田元帥送倭酒李達衷</title>,<text>元帥坐吟詩。無心強攻敵。感化執奠來。何必煩羽檄。</text>
<title>馬上</title>,<text>歲月又芳草。江湖多白雲。人生蓬不定。客路日將曛。</text>
<title>途中</title>,<text>馬上靑山近。僧邊白雨來。過江風景好。情興亦悠哉。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。</title>,<text>天地自爐鞴。山川誰陶冶。忽然闊無涯。日月出于野。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其二</title>,<text>風微雲影移。雨過川光活。小立觀吾心。未知誰讓闊。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其三</title>,<text>天下日多故。桃源猶避秦。誰知白帽客。已作遼東民。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其四</title>,<text>北瞻混同江。南對醫無閭。索莫犬羊窟。那知君子居。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其五</title>,<text>草色接遙天。川光浮輕霧。欲求君子居。回首瞻佳樹。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其六</title>,<text>纔看朝出日。又望昏起煙。渺渺醴泉路。山連東海天。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其七</title>,<text>物性鵬將鷃。人材鶴與雞。醴泉豪氣甚。餘子盡頭低。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其八</title>,<text>身初起海隅。名已滿天下。鴻鵠商嶺來。庭趨有洗馬。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其九</title>,<text>海闊隔齊魯。天遙拱遼霫。臨川筆有光。梁上飛塵入。</text>
<title>崖頭驛。有醴泉權政丞詩。其一聯云。野闊民居樹。天低馬入雲。其形容遼野。無復遺恨。穡曰。此是遼野十字傳神。與工部地偏江動蜀。天闊樹浮秦。語意絶相類。宜其拜贊善東宮之命也。高麗人與於是選。古所未聞。穡。公之孫壻也。僥倖登科。直拜翰林供奉。此雖穡之家風。然於權氏之門。豈無光耀。九原可作。公必慶我以傑作無疑也。遂用其十字爲韻。吟成十首。一以詠遼野。一以贊醴泉。 其十</title>,<text>胸次芥夢澤。中華播淸芬。牧童十絶句。永示公來雲。</text>
<title>再過浮碧樓</title>,<text>驎去白雲窟。龍歸芳草洲。江山如昨日。有客獨登樓。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 崇井巖松</title>,<text>峯頭蒼石聳。松頂白雲連。羅漢堂寥闃。居僧雜敎禪。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 日光石壁</title>,<text>崔嵬揷平野。縹緲俯長天。翠壁僧窓小。佛燈空半懸。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 孤石深洞</title>,<text>平野行將盡。回峯望更高。一區幽僻處。梵刹本來孤。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 回寺高峯</title>,<text>後嶺如三角。前峯入半空。行舟垂鐵碇。遮莫有狂風。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 圓山戍鼓</title>,<text>海嶠傳烽火。閭閻壓浪波。百年無事地。戍鼓夕陽多。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 鎭浦歸帆</title>,<text>細雨桃花浪。淸霜蘆葉秋。歸帆何處落。渺渺一扁舟。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 鴨野勸農</title>,<text>川原平似砥。禾稼浩如雲。太守催星駕。巡田欲夕曛。</text>
<title>吾家韓山雖小邑。以予父子登科中國。天下皆知東國之有韓山也。則其勝覽不可不播之歌章。故作八詠云。 熊津觀釣</title>,<text>馬邑山橫障。熊津水染苔。釣絲風裏䙚。恰得月明回。</text>
<title>題南大藩司尹菊詩卷末 五首</title>,<text>嚴霜悴百草。粲粲數枝菊。微物感予懷。秋來日相逐。</text>
<title>題南大藩司尹菊詩卷末 五首 其二</title>,<text>人人種菊看。未必能知菊。把酒對南山。悠然失所逐。</text>
<title>題南大藩司尹菊詩卷末 五首 其三</title>,<text>頗怪周子言。陶後鮮愛菊。同時見古人。往躅不須逐。</text>
<title>題南大藩司尹菊詩卷末 五首 其四</title>,<text>有田可種秫。有屋可種菊。何當師淵明。歸去謝馳逐。</text>
<title>題南大藩司尹菊詩卷末 五首 其五</title>,<text>不爲五斗米。不爲三徑菊。志在歸去來。飛電誰能逐。</text>
<title>酷熱書扇 二首</title>,<text>駕彼白鶴翎。飄然朝玉京。靑冥足風露。徹骨不勝淸。</text>
<title>酷熱書扇 二首 其二</title>,<text>欲少心常靜。身閑趣自長。一家天地小。隨分送炎涼。</text>
<title>過金二相靑巖莊 二首</title>,<text>山暗欲來雨。江明初捲煙。野莊猶昨日。人意自茫然。</text>
<title>過金二相靑巖莊 二首 其二</title>,<text>明月愁聞笛。靑山懶上樓。草深江路永。誰繼昔人游。</text>
<title>絶句</title>,<text>雨氣涼生骨。泉聲爽入肝。天公用意甚。萬事不相干。</text>
<title>有感 四首</title>,<text>羲軒世云遠。周孔今安歸。二帝日正午。昭王始衰微。</text>
<title>有感 四首 其二</title>,<text>秦天極昏黑。失路迷所歸。濂溪導伊洛。源遠勢益微。</text>
<title>有感 四首 其三</title>,<text>考亭夫子出。理學通精微。魯齋幸同嗜。北庭時發揮。</text>
<title>有感 四首 其四</title>,<text>程朱載道器。大斥二氏非。尙作句解讀。誰復知三希。</text>
<title>夏日謾題 三首</title>,<text>時哉井底蛙。晚矣雲間鶴。丹穴有鳳雛。何曾巢阿閣。</text>
<title>夏日謾題 三首 其二</title>,<text>麟出作春秋。文成致麟至。聖人自爲麟。紛紛竟誰是。</text>
<title>夏日謾題 三首 其三</title>,<text>雪灑石矼上。氷懸巖竇中。謾誇雙脚在。誰解踏空濛。</text>
<title>偶題</title>,<text>山林非僻處。朝市亦閑居。雙膝如容得。隨時樂有餘。</text>
<title>爲珠上人題冏徹卷</title>,<text>淸淨摩尼珠。隨方現五色。回頭望八荒。但一聲霹靂。</text>
<title>爲暹上人題騰騰卷</title>,<text>太狹必難容。太剛必致折。且向山林中。悠悠度歲月。</text>
<title>金思亭夫人李氏挽詞</title>,<text>竹軒今絶響。金海舊流芳。回首情無極。思亭掛夕陽。</text>
<title>出山相。應敎撰進。</title>,<text>佛界初增日。魔天欲裂時。春風隨步起。萬物已先知。</text>
<title>南窓</title>,<text>誰云北牗風。我愛南牕日。天道自循環。人情亦因物。</text>
<title>獨吟</title>,<text>萬里雲初卷。中天日獨懸。此心無物欲。誰肯更希賢。</text>
<title>代書寄羅州吳判官</title>,<text>錦城春色早。江岸欲殘梅。一枝芳信到。病目絶纖埃。</text>
<title>代書奉謝李同年 得遷</title>,<text>數年相別後。一笑立談間。忽得梅花信。幽居雪滿山。</text>
<title>偶題 二首</title>,<text>正好全篇玩。誠難逐句尋。須溪評點處。果得古人心。</text>
<title>偶題 二首 其二</title>,<text>偶得多眞趣。沈吟失本情。欲尋端的處。池草又春生。</text>
<title>詠月 二首</title>,<text>纖纖曲似鉤。皎皎明如鏡。君子惡求初。萬民所取正。</text>
<title>詠月 二首 其二</title>,<text>皎皎當天心。纖纖豈天命。小人難保終。千載發孤詠。</text>
<title>題羅判事詩卷</title>,<text>氷蘗心彌苦。詩書氣自華。長楊頻給札。奏罷夜還家。</text>
<title>題竹溪卷</title>,<text>竹色靜逾碧。溪聲閑更淸。高人方獨立。風細月華明。</text>
<title>奉寄金左尹</title>,<text>別離今已久。親愛老來深。東海秋將半。何時匹馬尋。</text>
<title>又賦</title>,<text>疑生空對面。事過可知心。暴雨朝來洒。幽人獨自吟。</text>
<title>夜授韓簽書宅小酌 三首</title>,<text>列宿稀難見。行雲遠莫招。酒闌仍對坐。明月過中宵。</text>
<title>夜授韓簽書宅小酌 三首 其二</title>,<text>雨傘頻相過。風樓屢見招。那知柳陰下。有此月明宵。</text>
<title>夜授韓簽書宅小酌 三首 其三</title>,<text>玉𪚥自難近。羽人誰得招。海山千萬里。有客立淸宵。</text>
<title>秋雨</title>,<text>秋雨過七夕。簷間有餘滴。濡毫吟長律。高興窘常格。</text>
<title>秋雨 其二</title>,<text>乍得又乍忘。有志却無力。嘯歌古風雅。情懷滿八極。</text>
<title>秋雨 其三</title>,<text>天氣向澄淸。登樓玩明月。笛聲已在耳。更待一圓缺。</text>
<title>明日又賦</title>,<text>山寺繁華日。煙區寂寞時。今朝還似舊。世道儘推移。</text>
<title>浮生 二首</title>,<text>浮生餘半百。末路更蒼黃。籠鳥秋天豁。轅駒暮道長。</text>
<title>浮生 二首 其二</title>,<text>誓心師孔孟。回首叫伊周。川上無窮意。悠悠祗自求。</text>
<title>讀唐賢詠月章</title>,<text>忌滿似知機。持盈却無策。白頭猶未歸。對月聊自責。</text>
<title>代書奉寄韓同年 三首</title>,<text>海岸莓苔路。山村罨畫家。苦寒危坐處。日影半窓斜。</text>
<title>代書奉寄韓同年 三首 其二</title>,<text>內浦屯營處。西原奮故家。鞍籠眩人目。更覺帽簷斜。</text>
<title>代書奉寄韓同年 三首 其三</title>,<text>謁聖成均館。停驂獻納家。病餘游甲第。我步尙欹斜。</text>
<title>寄東京全同年 二首</title>,<text>數年臥窮巷。城市亦山林。終羨閑中地。木天風露深。</text>
<title>寄東京全同年 二首 其二</title>,<text>雲山靑未了。鬢髮白無餘。何日飄然逝。相尋到草廬。</text>
<title>詠墻上草 三首</title>,<text>墻上非平地。渠生與物同。一天均雨露。垂穎媚秋風。</text>
<title>詠墻上草 三首 其二</title>,<text>物微還自遂。地瘠絶無同。柢怕漫天雪。那知惡木風。</text>
<title>詠墻上草 三首 其三</title>,<text>池魚誰昔愛。墻草宛相同。大極元無外。毫端有雨風。</text>
<title>旣賦墻上草。因念澗底松之句。復作三首。</title>,<text>長松從澗底。直欲拂雲霄。造物復何意。却生山上苗。</text>
<title>旣賦墻上草。因念澗底松之句。復作三首。 其二</title>,<text>直幹臨無地。寒聲迥薄霄。應從白駒客。不願食場苗。</text>
<title>旣賦墻上草。因念澗底松之句。復作三首。 其三</title>,<text>山深斤斧絶。突兀倚靑霄。自惜今多病。時時檢藥苗。</text>
<title>寄韓弘同年。因崔澍還家。附上三司左尹謝。</title>,<text>一片江山淨。三司氣像新。秋風吹寂寂。應憶病中人。</text>
<title>九日晚。鄭驤同年來別請詩。口號一首。</title>,<text>門巷秋深處。江山日落時。那堪更一別。相對鬢如絲。</text>
<title>十二日 二首 其二</title>,<text>回頭屈吾指。九月初一始。至此覆翻盡。聊看又餘二。</text>
<title>卽事 三首</title>,<text>山僧火色面。問訊若情親。異日天磨路。扶持已得人。</text>
<title>卽事 三首 其二</title>,<text>安心無語默。利物等冤親。奔走是功德。恐輸閑道人。</text>
<title>卽事 三首 其三</title>,<text>露骨山何處。天磨境自親。菩提可種地。只是在吾人。</text>
<title>謝全羅都巡問使池密直惠紅大蝦。走筆。</title>,<text>白雁西風急。紅蝦南海遙。病餘承厚惠。老去謝淸朝。</text>
<title>寄韓同年</title>,<text>海岸莓苔路。山村罨畫家。苦寒危坐處。日影半窓斜。</text>
<title>戲題</title>,<text>牧隱詩盈卷。吟來字字疏。有時淸到骨。秋露洒晴虛。</text>
<title>有懷山居 三首</title>,<text>別墅山深處。相尋踏月明。醉眠天已白。雞黍甕頭淸。</text>
<title>有懷山居 三首 其二</title>,<text>山曲樹林暗。野橋溪水明。不嫌衣盡濕。露氣十分淸。</text>
<title>有懷山居 三首 其三</title>,<text>輕衫凌積翠。短棹擊空明。人境自難辨。靈臺方寸淸。</text>
<title>謝鄭簽書見訪 三首 其三</title>,<text>翰林君鸞鷟。泮水我螟蛉。共抱忠心赤。終慙道骨靑。</text>
<title>守歲。用唐詩韻。三首。</title>,<text>白日無由絆。黃河不復回。浮生一飛鳥。自去更誰催。</text>
<title>守歲。用唐詩韻。三首。 其二</title>,<text>絃斷猶能續。波頹亦可回。無由駐光景。衮衮苦相催。</text>
<title>守歲。用唐詩韻。三首。 其三</title>,<text>窮陰方欲盛。淑景又將回。燈影共牢落。鼕鼕更鼓催。</text>
<title>絶句</title>,<text>造化自多術。將偸造化權。物生各異品。何關人與天。</text>
<title>偶記日月所照。霜露所墜。凡有血氣。莫不尊親之語。作四詠。 日</title>,<text>晅物無餘地。垂光自配天。南牕明潑眼。視蔭祝堯年。</text>
<title>偶記日月所照。霜露所墜。凡有血氣。莫不尊親之語。作四詠。 月</title>,<text>藏形晝避日。流影夜行天。祗欲君王見。中秋蓋一年。</text>
<title>偶記日月所照。霜露所墜。凡有血氣。莫不尊親之語。作四詠。 霜</title>,<text>秋氣淸無際。嚴霜滿一天。豐山鐘自動。感應是年年。</text>
<title>偶記日月所照。霜露所墜。凡有血氣。莫不尊親之語。作四詠。 露</title>,<text>銀河淨如洗。一滴墜玄天。賴有金仙掌。君王億萬年。</text>
<title>偶題</title>,<text>一詠螽斯羽。百年君子心。正家先正己。惕若惜分陰。</text>
<title>偶題 其二</title>,<text>有象應千變。無鄕只一心。養成從寡欲。白日破重陰。</text>
<title>偶題 其三</title>,<text>我學無他術。平生檢此心。一毫何敢肆。衮衮是光陰。</text>
